Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.5     66   29.8   26.0     80  21.61      0    0.0  302.9  367.4  306.8
 1000.0     70   29.9   25.9     79  21.49    210    0.9  303.1  367.3  306.9
  935.8    661   25.2   23.7     91  20.05     83    1.3  304.0  364.1  307.7
  927.4    741   25.7   19.5     69  15.57    101    1.1  305.3  352.2  308.2
  925.0    764   25.5   21.1     76  17.24     95    1.0  305.4  357.3  308.6
  911.8    891   24.6   21.6     83  18.14     81    1.7  305.7  360.4  309.1
  850.0   1505   21.2   14.9     67  12.66     98    0.4  308.4  347.0  310.7
  844.3   1563   20.9   13.4     62  11.49    111    0.7  308.6  343.8  310.8
  749.4   2583   13.4   11.3     88  11.34     29    2.8  311.1  346.2  313.2
  713.1   3001   11.5    9.0     84  10.16     16    3.6  313.5  345.3  315.5
  700.0   3156   11.0    7.0     76   9.03    328    3.1  314.6  343.1  316.3
  671.8   3499    9.7    4.5     70   7.92    304    1.7  316.9  342.1  318.4
  661.8   3624    9.6   -2.8     42   4.72    260    1.6  318.1  333.5  319.0
  649.4   3780    8.2    3.6     73   7.65    283    2.4  318.3  342.9  319.7
  638.1   3926    8.0   -5.8     37   3.89    257    2.6  319.6  332.6  320.4
  574.5   4784    2.7   -2.7     67   5.46    305    5.1  323.2  341.3  324.3
  520.1   5581   -2.6   -4.5     87   5.29     14    3.4  326.1  343.8  327.1
  504.0   5832   -3.4   -8.9     65   3.88     17    5.9  328.1  341.4  328.9
  500.0   5894   -3.8   -6.4     82   4.75     22    5.8  328.3  344.4  329.2
  499.6   5900   -3.9   -6.3     83   4.78     22    5.7  328.3  344.6  329.3
  494.8   5976   -4.1   -7.2     79   4.50     23    5.2  329.0  344.3  329.9
  475.5   6290   -5.6  -10.2     70   3.72     63    6.6  330.8  343.7  331.6
  437.3   6943  -10.0  -13.5     76   3.09     51    4.5  333.2  344.1  333.9
  433.1   7016  -10.1  -18.8     49   2.01     48    5.0  334.1  341.4  334.5
  432.0   7036  -10.1  -20.0     44   1.82     44    5.2  334.4  341.0  334.7
  427.0   7125  -10.4  -16.8     59   2.41     32    5.9  335.1  343.7  335.5
  422.2   7212  -10.9  -16.9     61   2.42     34    5.6  335.4  344.1  335.9
  404.8   7535  -12.6  -20.8     50   1.81     10    4.0  337.4  344.1  337.8
  402.9   7571  -12.5  -27.4     28   1.01     15    3.6  337.9  341.7  338.1
  400.0   7626  -13.0  -29.3     24   0.85     34    3.3  338.0  341.3  338.2
  381.7   7981  -16.1  -24.8     47   1.34     52    4.7  338.5  343.6  338.8
  379.6   8022  -16.3  -21.1     67   1.88     45    4.6  338.7  345.6  339.1
  375.0   8114  -16.6  -24.2     52   1.45     45    5.0  339.6  345.0  339.9
  363.3   8352  -17.6  -38.1     15   0.40     57    4.4  341.2  342.8  341.3
  349.6   8638  -19.9  -34.7     26   0.58     78    3.1  341.9  344.2  342.1
  339.6   8853  -21.8  -34.3     31   0.62     94    6.1  342.2  344.6  342.3
  331.8   9023  -23.3  -33.8     38   0.66     92    6.4  342.4  345.0  342.5
  325.2   9169  -24.1  -35.5     34   0.57     71    6.0  343.2  345.5  343.4
  323.8   9202  -24.3  -32.6     46   0.76     69    6.8  343.4  346.4  343.6
  317.0   9357  -25.4  -28.6     75   1.15     70    9.4  344.0  348.4  344.2
  310.5   9507  -26.2  -32.1     58   0.84     68    9.6  344.9  348.2  345.1
  300.0   9754  -28.2  -33.5     61   0.76     56    8.5  345.5  348.5  345.7
  281.9  10198  -31.9  -34.8     76   0.71     56   11.1  346.4  349.2  346.6
  272.1  10447  -33.2  -40.2     50   0.43     51   10.9  348.0  349.7  348.1
  269.5  10513  -33.5  -41.2     46   0.39     54   10.5  348.5  350.1  348.6
  255.9  10873  -37.0  -40.8     67   0.42     71   12.1  348.6  350.4  348.7
  254.4  10915  -37.3  -42.2     60   0.37     73   12.6  348.7  350.2  348.8
  253.0  10952  -37.5  -51.6     22   0.13     74   12.7  348.9  349.5  349.0
  250.4  11025  -38.1  -54.7     16   0.09     72   12.2  349.0  349.5  349.1
  250.0  11035  -38.2  -54.4     17   0.09     72   12.1  349.1  349.5  349.1
  243.6  11212  -39.6  -56.2     15   0.08     71   11.3  349.7  350.0  349.7
  240.3  11307  -40.4  -54.9     20   0.09     65   10.2  349.8  350.3  349.9
  238.7  11350  -40.6  -47.3     49   0.23     64   10.3  350.1  351.1  350.2
  229.2  11625  -42.9  -52.0     36   0.14     58   10.7  350.7  351.3  350.7
  200.0  12528  -51.5  -54.7     68   0.11     39   10.8  351.1  351.6  351.1
  195.6  12670  -52.6  -55.5     71   0.10     39   10.5  351.5  351.9  351.5
  187.4  12948  -54.3  -57.5     68   0.09     26    9.4  353.1  353.5  353.1
  182.7  13110  -55.7  -58.7     69   0.08     32    8.5  353.4  353.8  353.5
  176.7  13321  -57.5  -59.3     80   0.07     46   10.8  353.8  354.1  353.8
  170.6  13542  -59.0  -65.0     46   0.04     60   14.6  354.9  355.1  354.9
  164.8  13757  -60.7  -68.0     38   0.02     63   16.6  355.6  355.7  355.6
