Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     41                                                               
  997.3     66   32.0   26.3     72  22.15    130    0.5  305.4  372.3  309.4
  994.4     92   29.8   25.3     77  20.81    126    1.9  303.4  365.6  307.2
  953.7    465   26.2   24.0     88  20.11     71    5.4  303.4  363.5  307.1
  925.0    735   24.7   22.4     87  18.70     64    2.1  304.5  360.6  307.9
  903.1    945   23.0   21.8     93  18.49     79    1.5  304.9  360.5  308.3
  850.0   1474   20.7   18.6     88  16.11    229    1.8  307.8  356.7  310.7
  805.0   1944   17.9   16.6     92  14.95    186    2.0  309.7  355.5  312.5
  700.0   3132   11.6   10.4     92  11.38     66    2.0  315.3  351.1  317.5
  681.0   3363   10.2    9.1     93  10.75     18    1.3  316.2  350.2  318.2
  647.1   3787    7.8    6.0     89   9.13     34    0.1  318.2  347.3  319.9
  631.0   3995    7.1    5.7     91   9.13    117    2.7  319.6  348.9  321.4
  624.2   4085    7.4    2.9     73   7.61    112    2.9  321.0  345.7  322.4
  623.3   4096    7.3    3.0     74   7.67    114    3.0  321.0  345.9  322.5
  525.3   5484   -1.5   -4.5     80   5.24    120    3.8  326.5  344.1  327.5
  516.5   5618   -1.9   -6.1     73   4.71    137    6.2  327.5  343.5  328.5
  513.1   5671   -2.1   -6.4     73   4.63    137    6.1  327.9  343.7  328.8
  507.5   5759   -2.2  -15.7     35   2.22    132    4.9  328.8  336.7  329.3
  505.2   5794   -2.4  -10.0     56   3.54    127    4.4  329.0  341.2  329.7
  500.0   5877   -2.8  -15.2     38   2.35    110    3.8  329.6  337.9  330.1
  495.0   5956   -2.5  -23.7     18   1.15    108    3.3  330.9  335.1  331.1
  480.0   6199   -3.7  -28.0     13   0.80    127    3.5  332.3  335.3  332.5
  472.5   6324   -4.5  -21.9     24   1.41    124    5.2  332.8  337.9  333.0
  469.8   6369   -4.7  -18.5     33   1.90    127    5.5  333.1  340.0  333.5
  467.7   6404   -4.5  -24.7     19   1.10    130    5.4  333.8  337.9  334.0
  465.8   6436   -4.6  -16.4     39   2.28    133    5.3  334.1  342.3  334.6
  456.7   6591   -5.2  -32.9      9   0.53    142    6.2  335.2  337.2  335.3
  450.6   6697   -6.0  -32.1     11   0.58    147    6.4  335.5  337.8  335.6
  439.7   6888   -7.3  -31.3     13   0.64    137    5.0  336.1  338.6  336.3
  430.9   7045   -8.0  -31.6     13   0.63    145    5.1  337.2  339.7  337.3
  417.1   7297  -10.2  -32.3     14   0.61    159    5.5  337.6  340.0  337.7
  400.0   7617  -12.7  -32.5     17   0.63    146    4.7  338.4  340.9  338.6
  382.6   7954  -15.3  -33.4     20   0.60    107    3.6  339.3  341.7  339.4
  380.1   8004  -15.4  -23.8     49   1.48     88    4.0  339.8  345.3  340.1
  375.7   8092  -15.8  -22.6     56   1.66     71    4.3  340.4  346.6  340.7
  367.6   8257  -17.1  -26.6     43   1.19     77    5.1  340.8  345.4  341.1
  357.1   8472  -18.4  -27.1     47   1.17     80    6.2  341.9  346.3  342.1
  347.2   8683  -19.3  -40.5     13   0.32     91    4.9  343.4  344.8  343.5
  342.8   8777  -20.1  -40.0     15   0.34     97    4.9  343.5  345.0  343.6
  333.9   8972  -21.8  -38.2     21   0.42     92    5.6  343.9  345.6  344.0
  326.2   9143  -23.3  -36.1     30   0.54    109    6.6  344.1  346.3  344.2
  324.2   9187  -23.6  -33.0     42   0.73    108    7.1  344.2  347.1  344.4
  316.1   9371  -24.5  -32.0     50   0.83     93   10.0  345.5  348.8  345.7
  311.8   9472  -24.9  -49.8      8   0.13     85   10.7  346.3  346.9  346.4
  300.0   9751  -26.6  -46.1     14   0.20     80   13.9  347.8  348.6  347.8
  299.1   9772  -26.8  -46.4     14   0.20     80   14.0  347.8  348.6  347.8
  297.9   9801  -27.0  -47.5     13   0.18     79   13.9  347.8  348.6  347.9
  295.1   9869  -27.4  -34.6     51   0.69     76   13.5  348.2  351.0  348.4
  289.4  10009  -28.4  -41.8     26   0.34     77   13.3  348.8  350.2  348.9
  287.2  10065  -28.8  -37.6     42   0.52     79   13.3  349.0  351.2  349.1
  276.6  10331  -30.5  -42.8     29   0.32     79   12.0  350.3  351.6  350.4
  271.1  10476  -31.3  -52.1     11   0.11     85   11.8  351.2  351.7  351.2
  254.1  10931  -34.2  -62.8      4   0.03    102    7.5  353.4  353.6  353.4
  250.0  11044  -34.9  -63.4      4   0.03    101    5.7  354.0  354.2  354.0
  249.5  11057  -35.0  -64.2      3   0.03    101    5.7  354.1  354.3  354.1
  237.5  11400  -38.0  -64.2      5   0.03     93    5.0  354.6  354.8  354.6
  222.2  11853  -41.8  -66.7      5   0.02     60    2.0  355.6  355.7  355.6
  209.7  12242  -45.2  -65.6      8   0.03     45    5.0  356.2  356.3  356.2
  209.3  12257  -45.3  -65.4      9   0.03     46    5.1  356.1  356.3  356.1
  200.0  12558  -47.5  -66.5      9   0.02     61    7.1  357.5  357.6  357.5
  189.0  12928  -50.5  -69.6      9   0.02     95    7.0  358.4  358.5  358.5
