Latitude: 22.311 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     41                                                               
  997.2     66   29.1   26.5     86  22.41      0    0.0  302.5  369.4  306.5
  958.9    416   27.2   24.6     86  20.68    287    5.0  304.0  365.9  307.7
  944.8    547   27.4   23.0     77  19.00    300    7.0  305.5  362.7  308.9
  927.9    707   26.6   20.8     70  16.85    300    6.1  306.3  357.2  309.3
  925.0    735   26.4   20.9     72  17.10    298    5.8  306.3  358.0  309.4
  917.3    809   26.0   21.1     74  17.40    292    5.1  306.6  359.3  309.8
  886.2   1113   24.4   19.0     72  15.80    319    3.1  308.0  356.1  310.9
  850.0   1478   21.5   17.8     79  15.22     21    2.9  308.7  355.1  311.5
  822.7   1762   19.4   16.9     85  14.89    360    1.7  309.3  354.9  312.1
  758.8   2453   14.5   13.9     96  13.30    333    3.3  311.3  352.3  313.7
  700.0   3134   11.6    6.4     70   8.67      1    5.2  315.3  342.7  316.9
  696.0   3182   11.3    6.6     73   8.82      1    5.6  315.5  343.4  317.2
  671.9   3477    9.8    3.3     64   7.23      9    3.9  317.0  340.2  318.4
  657.9   3651    8.9    5.1     77   8.39     25    4.5  317.8  344.7  319.4
  651.3   3735    8.4    3.6     72   7.66     31    5.1  318.2  342.8  319.7
  644.6   3820    8.0    2.2     67   6.97     29    4.8  318.8  341.3  320.1
  640.2   3876    8.1   -0.6     54   5.73     22    4.8  319.4  338.1  320.5
  631.9   3985    7.3    2.8     73   7.43      2    5.2  319.8  343.8  321.2
  631.2   3994    7.3    2.9     74   7.53      2    5.4  319.8  344.1  321.2
  624.7   4079    7.3   -2.5     50   5.12      3    6.5  320.8  337.7  321.8
  621.2   4125    6.7    2.8     76   7.56    359    5.9  320.7  345.2  322.1
  617.8   4171    6.9   -3.1     49   4.95    356    5.4  321.4  337.8  322.3
  614.9   4209    6.5    0.2     64   6.33    355    5.3  321.4  342.1  322.6
  610.1   4273    6.3   -3.4     50   4.89    353    5.8  321.8  338.0  322.7
  608.5   4294    6.2   -4.5     46   4.51    353    5.8  322.0  337.0  322.9
  598.5   4431    5.0   -0.0     70   6.39      9    4.0  322.1  343.1  323.4
  588.4   4569    4.3   -1.0     69   6.08    360    4.5  322.9  342.9  324.1
  579.4   4695    4.4   -9.9     34   3.11      5    4.0  324.4  335.0  325.0
  566.5   4878    2.8   -3.5     63   5.21    356    4.5  324.5  341.9  325.6
  553.6   5064    2.3  -14.7     27   2.22      9    4.1  326.2  333.9  326.6
  538.5   5286    1.0   -9.2     46   3.54     25    4.1  327.2  339.3  327.9
  502.6   5839   -1.4  -23.6     17   1.14     51    7.4  330.8  335.0  331.0
  500.0   5880   -1.6  -23.6     17   1.15     54    7.3  331.0  335.2  331.2
  499.5   5888   -1.7  -23.6     17   1.14     54    7.3  331.0  335.2  331.2
  485.0   6121   -3.1  -19.4     27   1.70     44    6.4  332.1  338.3  332.5
  475.0   6287   -3.8  -15.7     39   2.37     64    5.9  333.1  341.6  333.6
  468.7   6392   -4.7  -14.3     47   2.71     64    6.5  333.4  343.0  333.9
  460.4   6532   -5.5  -16.7     41   2.25     71    6.7  334.0  342.1  334.4
  450.3   6705   -6.0  -23.8     23   1.25     51    9.4  335.5  340.2  335.8
  420.1   7246   -8.4  -37.0      8   0.38     47   10.2  339.1  340.7  339.2
  400.0   7624  -10.9  -41.4      6   0.25     44   11.2  340.7  341.8  340.8
  389.6   7827  -12.2  -43.0      6   0.22     38   11.6  341.6  342.5  341.6
  371.7   8183  -14.7  -43.3      7   0.22     35   10.9  342.9  343.8  342.9
  364.5   8330  -16.1  -42.5      8   0.25     33    9.6  343.0  344.0  343.0
  348.3   8671  -19.1  -46.5      7   0.17     49    7.2  343.4  344.1  343.4
  337.5   8905  -20.8  -37.7     20   0.44     37    5.1  344.2  346.0  344.3
  314.3   9427  -25.4  -44.2     16   0.24     48    3.0  344.9  345.9  344.9
  308.6   9558  -26.4  -45.9     14   0.20     58    5.2  345.2  346.1  345.3
  305.9   9622  -27.0  -46.0     15   0.20     53    6.5  345.2  346.1  345.3
  302.5   9703  -27.8  -37.9     37   0.48     46    6.5  345.3  347.3  345.4
  300.0   9762  -28.3  -38.0     39   0.48     46    5.9  345.3  347.3  345.4
  294.3   9898  -29.7  -39.6     38   0.42     46    6.5  345.3  347.0  345.4
  281.6  10211  -32.5  -38.6     54   0.48     68    6.4  345.6  347.6  345.7
  280.8  10232  -32.7  -38.4     57   0.50     68    6.5  345.7  347.7  345.8
  271.9  10457  -34.0  -37.8     69   0.55     58    5.6  346.9  349.1  347.0
  266.5  10598  -35.2  -39.2     67   0.48     58    5.9  347.2  349.1  347.3
  256.0  10877  -36.6  -40.3     69   0.45     27    8.8  349.2  351.0  349.3
  250.0  11041  -37.8  -41.3     69   0.41     28    9.4  349.8  351.5  349.9
  247.9  11101  -38.2  -41.8     69   0.39     28   10.1  350.0  351.6  350.1
  232.2  11545  -42.0  -44.5     77   0.32     48   13.1  350.7  352.1  350.8
  200.0  12539  -50.0  -54.4     60   0.12     65   19.6  353.5  354.0  353.5
