Latitude: 22.311 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     45                                                               
  997.7     66   30.3   22.8     64  17.75     36    0.9  303.6  356.7  306.9
  942.2    577   28.4   18.5     55  14.38    351    2.2  306.7  350.2  309.3
  925.0    741   26.9   22.3     76  18.66    314    2.1  306.8  363.4  310.2
  915.4    833   26.2   22.7     81  19.31    334    2.8  307.0  365.6  310.6
  857.2   1412   22.8   18.3     76  15.65    329    5.3  309.2  357.1  312.1
  850.0   1486   22.2   17.8     76  15.22    329    5.0  309.4  356.0  312.2
  804.7   1961   20.5   10.4     52   9.87      8    3.3  312.4  343.2  314.3
  752.0   2543   15.4   11.0     75  11.05     45    1.7  313.0  347.5  315.1
  700.0   3148   12.6    6.6     67   8.77     83    4.2  316.4  344.3  318.1
  693.8   3223   12.0    6.8     71   9.00     85    5.2  316.5  345.1  318.2
  674.4   3461   11.7    0.8     47   6.01     85    6.5  318.8  338.3  319.9
  669.6   3520   11.3    0.4     47   5.91     86    6.9  318.9  338.2  320.1
  658.5   3660   10.4   -1.8     43   5.12     90    5.5  319.5  336.3  320.5
  633.9   3975    7.7    1.8     66   6.88     98    5.5  320.0  342.3  321.3
  607.9   4320    5.7   -7.3     39   3.65     99    5.1  321.5  333.8  322.2
  595.0   4494    4.9   -9.1     36   3.24    132    5.0  322.5  333.5  323.2
  593.6   4514    4.8   -9.7     34   3.10    133    5.0  322.6  333.2  323.2
  576.8   4747    3.0   -5.1     55   4.56    141    4.2  323.2  338.4  324.1
  543.9   5220    0.4  -15.1     30   2.17    164    3.4  325.5  333.1  325.9
  517.0   5625   -2.7   -9.4     60   3.64    150    4.7  326.6  339.0  327.3
  511.4   5711   -2.7  -19.7     26   1.57    150    3.9  327.6  333.2  327.9
  505.6   5801   -3.5  -11.0     56   3.28    160    2.6  327.6  338.9  328.3
  500.0   5890   -3.8  -13.6     47   2.68    151    1.9  328.3  337.6  328.8
  492.7   6005   -4.3  -16.8     37   2.09    322    0.0  329.1  336.5  329.5
  479.7   6216   -4.8  -26.6     16   0.90     85    1.0  331.0  334.3  331.2
  455.1   6627   -7.8  -18.0     44   2.04    328    0.7  332.3  339.6  332.7
  451.5   6690   -8.0  -24.7     25   1.15    315    0.3  332.8  337.1  333.1
  448.1   6749   -8.5  -17.5     48   2.16     84    0.5  332.8  340.6  333.3
  441.1   6870   -9.5  -20.3     41   1.73    342    1.4  333.0  339.3  333.4
  440.5   6880   -9.3  -25.4     26   1.10    335    1.5  333.5  337.6  333.7
  439.5   6899   -9.3  -17.3     52   2.24    321    1.6  333.7  341.8  334.2
  437.4   6935   -9.0  -20.8     38   1.67    301    1.7  334.6  340.7  334.9
  426.4   7133  -10.3  -14.5     71   2.93    287    3.0  335.3  345.8  335.9
  417.4   7297  -11.4  -17.3     62   2.36    289    2.0  336.0  344.5  336.5
  413.5   7368  -11.7  -24.7     33   1.26    294    1.5  336.5  341.2  336.7
  400.0   7621  -13.7  -28.0     29   0.95    256    2.0  337.1  340.7  337.3
  395.3   7712  -14.3  -32.1     21   0.66    257    2.3  337.4  340.0  337.6
  383.8   7934  -15.7  -40.4     10   0.30    244    3.1  338.5  339.7  338.6
  370.4   8202  -17.4  -30.1     32   0.85    228    4.7  339.6  342.9  339.8
  369.1   8227  -17.5  -38.2     15   0.38    226    5.0  339.9  341.4  340.0
  366.2   8286  -17.6  -47.3      6   0.15    223    5.3  340.5  341.1  340.5
  339.7   8844  -22.1  -35.1     30   0.57    170    2.7  341.8  344.1  341.9
  335.6   8932  -22.1  -52.4      5   0.09    173    2.0  343.0  343.4  343.0
  319.9   9284  -24.3  -47.6     10   0.16    137    2.4  344.7  345.4  344.7
  314.0   9418  -25.3  -29.6     67   1.05    114    4.4  345.1  349.2  345.3
  303.3   9671  -27.1  -31.1     69   0.95     97    4.8  346.0  349.8  346.2
  302.9   9680  -27.1  -31.1     68   0.94     97    5.0  346.1  349.8  346.3
  300.0   9748  -27.2  -31.9     64   0.89     95    5.7  346.9  350.4  347.1
  295.9   9848  -27.7  -40.5     28   0.38     96    5.1  347.6  349.2  347.7
  295.2   9864  -27.8  -40.1     30   0.40     96    5.0  347.7  349.3  347.8
  288.7  10025  -28.8  -35.0     56   0.68    122    4.2  348.4  351.1  348.5
  283.7  10150  -29.4  -43.1     25   0.30    150    4.9  349.3  350.6  349.4
  283.1  10165  -29.5  -41.9     29   0.34    150    5.0  349.4  350.9  349.5
  281.9  10194  -29.6  -38.2     43   0.50    150    5.2  349.7  351.8  349.8
  277.4  10310  -30.7  -38.0     48   0.52    152    4.5  349.8  351.9  349.9
  255.7  10883  -35.4  -45.2     36   0.26     97    5.8  351.0  352.2  351.1
  254.0  10929  -35.7  -50.0     22   0.16     93    6.4  351.3  352.0  351.3
  250.0  11038  -36.6  -54.6     14   0.09     89    6.3  351.5  351.9  351.5
  247.7  11101  -37.0  -64.1      4   0.03     91    5.7  351.8  351.9  351.8
  247.3  11114  -37.2  -64.1      4   0.03     92    5.6  351.8  351.9  351.8
