Latitude: 22.313 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1001.3     66   28.4   25.8     86  21.39    267    0.1  301.4  364.9  305.3
 1000.0     77   28.6   25.7     84  21.25    267    0.1  301.8  364.9  305.6
  983.4    227   27.8   25.0     85  20.74    221    5.1  302.3  364.1  306.1
  956.4    474   25.4   24.5     95  20.59    199    5.2  302.4  363.6  306.1
  941.9    609   24.2   24.2    100  20.60    200    5.7  302.5  363.8  306.2
  936.0    665   23.9   23.8    100  20.27    196    5.1  302.7  363.0  306.3
  925.0    768   23.2   23.2    100  19.68    213    5.6  303.1  361.7  306.6
  920.5    811   23.0   23.0    100  19.57    218    6.1  303.3  361.7  306.8
  896.8   1039   20.8   18.8     88  15.45    229    9.0  303.3  349.3  306.1
  887.5   1130   20.7   20.1     96  16.93    229    9.0  304.1  354.7  307.1
  882.1   1182   21.5   17.1     76  14.00    231    9.3  305.4  347.6  308.0
  876.2   1241   21.1   17.0     77  14.01    235   10.2  305.5  347.7  308.1
  850.0   1504   18.9   17.7     93  15.14    227   10.2  305.9  351.5  308.7
  841.8   1587   18.3   17.9     98  15.56    220    9.9  306.1  353.0  308.9
  838.1   1625   18.3   17.7     96  15.40    218   10.6  306.6  353.1  309.4
  828.7   1722   18.9   15.5     81  13.46    217   11.8  308.1  349.1  310.6
  793.5   2095   17.6   12.7     73  11.75    224   15.8  310.6  346.8  312.8
  737.9   2714   14.5   10.3     76  10.74    206    9.8  313.8  347.3  315.8
  700.0   3160   12.3    6.5     68   8.71    210   12.8  316.1  343.8  317.8
  664.1   3601    9.9    4.8     70   8.16    215   11.8  318.2  344.4  319.8
  645.1   3841    9.6    2.6     61   7.16    210   11.3  320.5  343.7  321.9
  644.6   3848    9.6    2.6     62   7.17    210   11.3  320.5  343.8  321.9
  597.4   4475    5.2    0.7     72   6.75    195   10.0  322.5  344.6  323.8
  559.5   5007    2.1   -1.5     77   6.15    213    8.6  324.9  345.3  326.1
  542.1   5262    0.6   -3.1     76   5.63    191    7.8  326.0  344.9  327.1
  509.1   5764   -3.3   -5.1     87   5.14    199    6.0  327.3  344.7  328.3
  500.0   5907   -3.5   -7.3     75   4.44    192    6.8  328.7  343.9  329.6
  496.5   5963   -3.7   -8.8     68   3.97    193    7.0  329.1  342.7  329.9
  479.9   6230   -6.1   -9.5     77   3.88    200    5.9  329.4  342.8  330.2
  473.8   6330   -6.8  -10.0     78   3.78    186    5.5  329.8  342.8  330.5
  471.6   6367   -6.5  -11.3     68   3.42    178    5.3  330.5  342.4  331.2
  463.6   6499   -6.2  -14.5     52   2.68    145    6.5  332.5  342.0  333.0
  460.7   6549   -6.0  -16.4     44   2.30    142    6.3  333.3  341.6  333.8
  435.6   6986   -9.0  -22.6     32   1.43    151    7.4  335.0  340.3  335.3
  415.9   7342  -11.5  -20.6     47   1.79    159    7.7  336.2  342.8  336.6
  404.8   7550  -13.4  -21.5     51   1.70    147    7.6  336.3  342.6  336.7
  400.0   7640  -13.9  -22.6     48   1.57    145    6.9  336.8  342.6  337.1
  361.8   8395  -18.8  -31.4     32   0.77    138    6.4  340.1  343.1  340.3
  351.9   8601  -20.6  -30.7     40   0.85    135    6.9  340.4  343.7  340.6
  349.1   8660  -21.2  -28.6     51   1.04    135    7.2  340.4  344.3  340.6
  332.3   9023  -23.2  -42.9     15   0.26    149    9.0  342.4  343.5  342.4
  330.3   9066  -23.6  -42.3     16   0.28    150    9.0  342.5  343.7  342.6
  311.4   9493  -26.8  -46.7     13   0.18    134   11.4  343.8  344.6  343.9
  300.0   9763  -28.1  -50.6     10   0.12    142   11.7  345.7  346.2  345.7
  288.1  10053  -30.1  -51.8     10   0.11    137   13.1  346.8  347.3  346.9
  285.1  10127  -29.6  -54.6      7   0.08    135   12.9  348.5  348.9  348.5
  273.8  10413  -32.0  -54.2      9   0.09    144   11.8  349.2  349.6  349.2
  250.0  11047  -37.6  -58.9      9   0.05    114    8.1  350.1  350.3  350.1
  244.6  11198  -38.7  -58.2     11   0.06    102    9.5  350.6  350.9  350.6
  225.3  11755  -43.9  -58.3     19   0.06    106   12.8  351.0  351.3  351.0
  215.5  12052  -45.8  -64.3     11   0.03     99   15.7  352.5  352.7  352.5
  200.0  12545  -49.8  -63.1     20   0.04    104   17.3  353.7  353.9  353.7
  198.5  12595  -50.3  -62.2     23   0.04    104   17.8  353.7  353.9  353.7
  178.4  13282  -55.1  -76.0      6   0.01    113   15.8  356.9  356.9  356.9
  152.6  14262  -63.9  -73.1     28   0.01    112   20.8  358.0  358.1  358.0
  150.0  14367  -64.4  -74.1     25   0.01    113   20.3  359.0  359.1  359.0
  141.8  14710  -67.0  -74.6     34   0.01    117   20.8  360.1  360.2  360.1
  134.3  15033  -68.8  -80.2     18   0.00    126   18.5  362.7  362.7  362.7
  133.7  15059  -68.9  -80.2     18   0.00    126   18.6  362.9  362.9  362.9
  127.5  15344  -71.5  -80.2     26   0.01    122   19.5  363.3  363.3  363.3
  109.9  16211  -75.8  -85.2     22   0.00    117   21.5  370.9  370.9  370.9
