Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     59                                                               
  999.3     66   28.8   25.8     84  21.44    251    1.2  302.0  365.8  305.9
  965.5    372   25.9   24.8     94  20.77    248    6.2  302.0  363.7  305.8
  938.9    618   24.4   21.9     86  17.92    252    9.6  303.0  356.4  306.2
  934.9    657   25.1   18.3     66  14.26    254    9.6  304.0  346.7  306.6
  932.1    682   25.2   18.4     66  14.44    255    9.5  304.4  347.7  307.0
  925.0    750   24.6   19.0     71  15.11    255    9.2  304.4  349.7  307.2
  907.6    917   24.6   17.8     66  14.26    253   10.1  306.1  349.2  308.7
  869.6   1292   23.0   14.1     57  11.72    238    7.7  308.3  344.0  310.4
  850.0   1490   22.1   12.2     53  10.58    242    6.5  309.3  341.9  311.3
  827.7   1721   21.8    7.3     39   7.76    245    5.3  311.3  335.6  312.7
  809.8   1910   20.2    7.5     44   8.06    255    6.6  311.6  336.8  313.1
  733.6   2754   14.1    4.3     51   7.10    219    3.6  313.9  336.4  315.2
  700.0   3148   11.7    0.2     45   5.57    236    4.8  315.4  333.3  316.5
  697.1   3183   11.4    0.2     46   5.56    238    5.0  315.5  333.4  316.5
  692.6   3237   10.9   -0.1     46   5.48    242    5.3  315.5  333.2  316.6
  670.1   3511    9.8  -12.1     20   2.27    257    5.5  317.2  324.9  317.7
  655.9   3690    9.5  -18.9     12   1.32    249    4.8  318.9  323.5  319.1
  652.4   3734    9.0   -3.7     40   4.46    248    4.6  318.8  333.4  319.6
  575.3   4763    3.6  -21.5     14   1.20    255    2.4  324.1  328.4  324.4
  564.6   4915    4.7  -27.3      8   0.73    233    0.6  327.2  329.9  327.3
  557.7   5016    3.9  -27.9      8   0.69    192    0.4  327.3  329.9  327.4
  540.4   5270    2.0  -33.2      5   0.43    259    1.8  328.1  329.7  328.1
  513.9   5674   -0.8  -28.6     10   0.71    322    1.3  329.4  332.0  329.5
  509.4   5743   -1.3  -16.5     30   2.08    328    1.8  329.7  337.0  330.1
  500.2   5888   -2.2  -20.9     22   1.45    292    3.9  330.3  335.5  330.5
  500.0   5891   -2.2  -20.9     22   1.45    290    3.9  330.3  335.6  330.6
  482.3   6176   -2.9  -34.2      7   0.44    330    3.1  332.8  334.5  332.9
  450.7   6709   -6.7  -31.4     12   0.62    332    5.0  334.6  337.0  334.7
  430.8   7061   -7.8  -36.8      8   0.38    313    6.1  337.5  339.0  337.6
  416.5   7322   -8.7  -40.0      6   0.28    331    7.7  339.6  340.8  339.7
  414.1   7368   -8.8  -38.5      7   0.33    333    8.3  340.0  341.4  340.1
  405.8   7523  -10.2  -38.4      8   0.34    333    9.8  340.2  341.6  340.3
  400.0   7634  -11.2  -38.2      9   0.36    336    9.4  340.3  341.7  340.4
  367.7   8272  -16.8  -32.6     24   0.67      6    6.1  341.2  343.8  341.3
  349.6   8649  -20.3  -35.2     25   0.55    359    8.1  341.4  343.6  341.5
  316.5   9378  -24.6  -47.9     10   0.16     13    5.5  345.3  346.0  345.3
  305.0   9648  -25.9  -50.0      9   0.13    356    5.5  347.1  347.7  347.2
  300.0   9767  -26.7  -51.5      8   0.11      4    5.3  347.6  348.1  347.6
  298.0   9814  -27.0  -51.7      8   0.11      6    5.3  347.9  348.4  347.9
  285.9  10114  -28.7  -55.1      6   0.08    348    5.4  349.6  349.9  349.6
  283.3  10179  -29.0  -56.4      5   0.07    352    5.5  350.0  350.3  350.0
  263.9  10680  -33.2  -57.3      7   0.06     16    5.6  351.2  351.4  351.2
  250.0  11058  -36.4  -58.4      8   0.06     17    5.5  351.8  352.0  351.8
  233.9  11516  -40.1  -62.5      7   0.04     28    5.7  352.9  353.1  352.9
  227.5  11706  -41.6  -68.1      4   0.02     47    6.0  353.4  353.5  353.4
  226.7  11727  -41.9  -65.0      6   0.03     48    6.1  353.4  353.6  353.4
  208.0  12305  -46.8  -56.8     31   0.08     46    6.7  354.5  354.9  354.6
  206.7  12346  -47.2  -54.0     45   0.12     48    6.8  354.6  355.1  354.6
  201.3  12520  -48.4  -54.5     49   0.12     60    6.5  355.3  355.8  355.3
  200.0  12563  -48.7  -55.1     47   0.11     63    6.5  355.5  356.0  355.5
  193.6  12775  -50.5  -57.5     43   0.08     75    5.5  355.9  356.3  355.9
  190.6  12877  -51.3  -60.5     32   0.06     86    6.3  356.3  356.6  356.3
  180.3  13238  -53.9  -64.2     27   0.04     86    8.1  357.6  357.8  357.6
  171.9  13541  -56.6  -63.3     42   0.04     85    9.1  358.2  358.4  358.2
  165.5  13780  -58.6  -66.4     36   0.03     68    8.6  358.7  358.9  358.8
  154.6  14204  -62.3  -67.3     51   0.03     74    9.9  359.5  359.6  359.5
  150.0  14390  -63.8  -69.3     47   0.02     76   11.1  360.0  360.1  360.0
  147.3  14501  -64.8  -70.2     48   0.02     77   10.8  360.1  360.2  360.1
  140.7  14779  -66.5  -74.9     29   0.01     72   12.3  362.0  362.0  362.0
  130.8  15216  -70.2  -74.2     55   0.01     68   15.1  362.9  362.9  362.9
  124.3  15521  -72.0  -79.1     34   0.01     77   13.3  364.9  364.9  364.9
