Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     61                                                               
  999.5     66   24.9   24.4     97  19.60      0    0.0  298.1  355.3  301.6
  964.9    376   23.7   23.4     99  19.15    261    5.1  299.9  356.2  303.3
  959.3    427   23.4   23.3    100  19.10    271    5.1  300.1  356.2  303.5
  947.1    539   23.2   23.2    100  19.21    227    7.2  301.0  357.8  304.5
  938.2    622   23.7   22.6     93  18.71    209    9.3  302.3  357.9  305.7
  932.0    681   23.2   22.5     96  18.69    199    9.4  302.3  357.9  305.7
  925.0    746   23.1   22.0     94  18.28    205   10.0  302.9  357.3  306.2
  909.6    893   22.4   21.3     93  17.76    215   11.7  303.6  356.7  306.9
  887.4   1109   21.2   20.8     98  17.70    206   13.8  304.5  357.6  307.7
  870.5   1275   20.0   19.8     99  16.92    226   16.1  305.0  355.8  308.1
  859.5   1386   19.3   19.0     98  16.26    213   15.8  305.4  354.3  308.4
  854.6   1435   19.5   18.2     92  15.56    219   17.5  306.0  353.0  308.9
  850.0   1482   19.3   17.7     90  15.12    222   16.3  306.3  352.0  309.1
  807.2   1927   17.3   15.9     91  14.26    222   12.4  308.8  352.3  311.4
  780.6   2213   15.5   14.0     90  12.97    211   13.8  309.9  349.6  312.3
  765.9   2374   15.1   12.1     82  11.63    226   15.1  311.0  347.0  313.2
  742.4   2638   13.9   10.5     80  10.81    204   13.0  312.6  346.2  314.6
  737.7   2693   14.2   10.2     77  10.64    204   10.9  313.4  346.6  315.4
  723.6   2856   13.2   10.2     82  10.88    199   10.6  314.0  348.1  316.1
  712.5   2986   12.4    9.7     84  10.71    213   12.3  314.6  348.2  316.6
  703.6   3092   11.8    9.0     83  10.34    202   11.2  315.1  347.6  317.0
  700.0   3134   11.5    9.0     84  10.36    204   11.1  315.2  347.9  317.2
  688.5   3273   10.7    8.8     89  10.43    215   10.6  315.7  348.6  317.7
  670.1   3499    9.3    7.6     89   9.85    192   10.9  316.7  347.9  318.6
  663.3   3584    9.2    7.0     86   9.55    211   10.1  317.5  347.9  319.3
  638.4   3900    7.0    5.5     90   8.92    231    9.6  318.5  347.1  320.2
  593.4   4500    4.2    3.4     94   8.25    204    6.8  322.0  348.8  323.6
  587.2   4586    3.7    3.1     96   8.20    218    8.0  322.3  349.0  323.9
  560.9   4958    1.3    0.6     95   7.14    190    7.6  323.8  347.3  325.2
  555.4   5036    1.2    0.5     95   7.19    211    7.2  324.6  348.3  326.0
  542.1   5231    0.5    0.0     97   7.11    181    7.2  325.9  349.5  327.3
  526.1   5473   -0.3   -0.5     98   7.04    181    7.3  327.8  351.4  329.2
  517.4   5607   -0.8   -0.9     99   6.96    163    7.0  328.8  352.1  330.2
  509.5   5730   -1.4   -1.9     96   6.58    176    7.9  329.5  351.7  330.8
  500.0   5879   -2.1   -2.6     97   6.35    167    6.2  330.4  351.9  331.6
  499.3   5891   -2.2   -2.6     97   6.34    165    6.3  330.4  351.9  331.7
  480.6   6194   -3.7   -4.4     95   5.77    180    9.0  332.2  351.9  333.4
  447.5   6755   -6.7   -7.3     96   4.96    168   12.3  335.2  352.5  336.2
  409.5   7445  -10.2  -11.3     92   3.95    175    9.1  339.3  353.4  340.1
  400.0   7625  -11.3  -12.4     91   3.71    166    9.4  340.3  353.6  341.0
  398.7   7649  -11.3  -12.1     94   3.81    165    9.5  340.5  354.2  341.3
  378.4   8049  -13.5  -15.0     88   3.16    153    7.1  342.8  354.3  343.5
  378.0   8057  -13.5  -15.0     88   3.17    153    7.0  342.9  354.4  343.5
  370.1   8217  -14.6  -16.0     89   2.97    156    5.8  343.4  354.3  344.0
  361.8   8390  -15.5  -17.0     88   2.80    182    6.9  344.5  354.8  345.1
  352.0   8597  -16.7  -18.3     88   2.58    181    4.5  345.6  355.2  346.1
  334.4   8980  -19.2  -21.1     85   2.14    174    5.2  347.3  355.4  347.8
  300.5   9769  -24.4  -26.7     81   1.44    205    6.1  350.7  356.3  351.0
  300.0   9781  -24.5  -26.9     80   1.42    207    6.3  350.8  356.3  351.1
  286.1  10124  -27.3  -29.2     84   1.19    224    8.7  351.4  356.2  351.7
  275.2  10402  -29.4  -31.4     83   1.01    210    7.7  352.5  356.5  352.7
  271.5  10500  -30.2  -31.6     88   1.01    211    7.0  352.6  356.7  352.9
  250.0  11080  -35.0  -37.4     79   0.62    218    7.2  353.9  356.4  354.0
  242.1  11305  -36.7  -39.6     75   0.51    211    7.1  354.6  356.7  354.7
  218.5  12005  -42.9  -45.0     80   0.32    225    4.6  355.5  356.9  355.6
  217.6  12031  -43.2  -45.6     78   0.30    229    5.3  355.5  356.8  355.5
  212.0  12207  -45.0  -49.0     64   0.21    259    7.7  355.4  356.3  355.4
  206.4  12386  -46.6  -50.8     62   0.18    247    5.9  355.6  356.4  355.7
  201.4  12548  -48.1  -52.1     63   0.15    270    5.0  355.7  356.4  355.8
  200.0  12593  -48.5  -52.9     60   0.14    271    4.9  355.7  356.4  355.8
  187.3  13020  -52.6  -57.2     57   0.09    257    6.1  356.0  356.4  356.0
