Latitude: 22.313 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     39                                                               
  997.0     66   27.4   26.4     94  22.17    315    0.5  300.8  366.4  304.8
  979.7    222   26.5   25.7     95  21.63    229    5.1  301.4  365.5  305.2
  965.2    354   25.5   25.2     98  21.38    245    6.7  301.7  365.2  305.5
  955.8    440   24.9   24.9    100  21.19    240    8.8  301.9  364.9  305.7
  935.1    633   23.9   23.9    100  20.39    240   14.4  302.8  363.6  306.5
  925.0    729   23.5   23.5    100  20.09    245   14.1  303.3  363.3  307.0
  850.0   1466   19.5   19.4    100  16.97    256   13.4  306.5  357.8  309.6
  783.4   2166   15.8   15.8    100  14.54    258   12.9  309.8  354.3  312.5
  761.9   2404   14.7   14.1     96  13.43    247   10.3  311.1  352.6  313.6
  743.8   2608   13.8   13.2     96  12.93    255   10.2  312.2  352.3  314.7
  731.4   2751   15.7   10.1     69  10.66    263   10.1  315.9  349.5  317.9
  722.3   2857   14.9   10.2     74  10.89    267    8.9  316.1  350.4  318.1
  700.0   3122   12.8    9.0     78  10.36    259    9.7  316.6  349.4  318.6
  677.5   3396   11.5    7.4     76   9.57    260   10.1  318.1  348.6  319.9
  639.5   3878    8.4    5.3     81   8.78    290    9.2  319.9  348.1  321.6
  612.8   4230    6.0    3.8     86   8.25    293    8.0  321.1  347.9  322.7
  576.2   4734    4.0    1.2     82   7.28    280    8.6  324.4  348.5  325.9
  535.0   5333   -0.0   -0.1     99   7.13    297    9.0  326.6  350.3  328.0
  529.6   5415    0.6   -1.3     87   6.58    300    8.9  328.3  350.4  329.6
  517.8   5596   -0.2   -2.9     82   6.00    293    8.2  329.4  349.7  330.6
  500.0   5875   -2.7   -3.5     95   5.95    292    8.4  329.6  349.8  330.8
  496.2   5936   -3.3   -3.8     96   5.84    288    7.5  329.7  349.5  330.8
  491.7   6007   -2.1   -5.4     78   5.21    286    6.6  331.9  349.8  333.0
  484.8   6120   -2.8   -5.8     80   5.14    285    7.0  332.5  350.2  333.5
  470.3   6361   -4.1   -6.5     83   5.00    303    9.2  333.7  351.0  334.7
  446.3   6772   -7.1   -8.9     87   4.39    274    5.8  335.0  350.3  335.9
  435.8   6957   -8.0  -10.0     86   4.13    293    6.0  336.1  350.6  336.9
  427.0   7116   -9.1  -10.6     89   4.01    279    5.0  336.8  350.9  337.6
  406.0   7506  -10.2  -12.4     84   3.66    298    2.6  340.2  353.3  340.9
  400.0   7620  -11.1  -13.1     86   3.51    292    2.7  340.4  353.1  341.2
  388.6   7842  -12.1  -15.0     79   3.08    294    2.7  342.0  353.2  342.6
  386.0   7893  -11.9  -15.8     73   2.90    304    2.5  342.9  353.5  343.5
  368.9   8238  -14.8  -17.5     80   2.62    317    5.0  343.5  353.2  344.0
  353.2   8567  -17.3  -19.9     80   2.25    270    5.1  344.5  352.9  345.0
  344.5   8753  -19.1  -21.3     82   2.03    290    7.1  344.5  352.1  344.9
  341.1   8826  -19.7  -23.4     72   1.71    287    7.2  344.7  351.2  345.0
  337.2   8913  -20.0  -23.4     74   1.72    285    8.5  345.4  351.9  345.7
  330.5   9060  -21.2  -24.2     77   1.64    295    7.1  345.8  352.0  346.1
  320.6   9284  -22.1  -25.0     77   1.58    339    5.0  347.5  353.5  347.8
  311.0   9509  -23.7  -26.3     79   1.44    356    5.2  348.3  353.8  348.6
  301.1   9742  -25.5  -27.2     86   1.37     61    4.7  348.9  354.2  349.2
  300.0   9770  -25.5  -27.5     84   1.34     65    5.0  349.3  354.5  349.5
  298.9   9797  -25.7  -27.6     84   1.34     65    5.0  349.5  354.7  349.7
  291.8   9969  -26.8  -29.0     82   1.19     45    6.3  350.2  354.9  350.4
  274.7  10404  -29.8  -32.8     75   0.88     35    6.7  352.0  355.5  352.2
  263.3  10704  -32.0  -35.3     73   0.72     46    6.2  353.0  356.0  353.2
  260.3  10783  -32.7  -36.0     72   0.68     49    6.3  353.2  356.0  353.4
  250.0  11068  -35.0  -38.8     69   0.54     35    7.6  353.8  356.1  354.0
  239.5  11365  -37.5  -41.4     67   0.42     29    7.6  354.4  356.2  354.5
  220.8  11920  -42.2  -46.2     65   0.27     50    6.4  355.6  356.8  355.6
  208.6  12303  -45.6  -49.6     64   0.20     56    4.8  356.0  356.9  356.1
  200.0  12581  -48.2  -54.3     49   0.12     61    3.3  356.3  356.8  356.3
  189.2  12945  -51.4  -63.9     21   0.04     28    3.1  356.8  357.0  356.9
  185.4  13075  -52.6  -63.7     25   0.04     28    2.6  356.9  357.1  357.0
  180.8  13238  -54.2  -63.0     33   0.04     35    3.7  356.9  357.1  356.9
  178.5  13319  -54.9  -59.4     57   0.07     43    4.1  357.1  357.4  357.1
  167.7  13713  -58.6  -63.4     54   0.05     77    4.9  357.3  357.5  357.3
  153.9  14248  -63.4  -67.9     54   0.03     84    7.8  358.0  358.1  358.0
  151.6  14340  -64.2  -69.3     49   0.02     89    7.7  358.3  358.4  358.3
  150.0  14404  -64.8  -70.3     47   0.02     88    7.5  358.3  358.4  358.3
