Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     44                                                               
  997.5     66   27.7   24.4     82  19.61      0    0.0  301.1  359.0  304.6
  966.2    348   25.4   23.2     87  18.84    290    2.4  301.5  357.3  304.9
  958.7    417   26.0   20.0     70  15.56    259    4.0  302.7  349.0  305.6
  947.2    524   25.2   20.0     73  15.71    260    5.0  303.0  349.9  305.9
  935.5    634   24.4   20.4     78  16.29    260    6.0  303.3  351.9  306.3
  925.0    733   23.9   21.0     84  17.16    232    4.8  303.7  355.0  306.9
  919.2    788   23.6   20.4     82  16.67    235    5.0  304.0  353.8  307.0
  909.9    877   23.2   19.5     79  15.85    257    5.6  304.5  352.0  307.4
  900.2    971   22.5   19.8     85  16.38    242    6.9  304.6  353.7  307.6
  880.2   1166   20.9   20.3     97  17.30    244    7.2  304.9  356.9  308.1
  850.0   1469   19.4   17.7     90  15.21    252    9.2  306.5  352.4  309.3
  833.5   1639   18.9   15.9     83  13.73    257   11.0  307.6  349.4  310.2
  746.4   2582   14.1   11.5     85  11.52    237    7.9  312.2  348.0  314.4
  723.6   2843   12.7    9.9     83  10.63    260    7.9  313.5  346.8  315.5
  714.4   2952   12.4    8.5     77   9.81    251    7.8  314.3  345.1  316.2
  711.9   2980   12.2    8.7     79   9.96    251    7.6  314.5  345.8  316.4
  700.0   3122   11.4    8.3     81   9.88    269    7.7  315.1  346.2  316.9
  696.2   3168   11.0    9.2     89  10.53    273    7.7  315.1  348.2  317.1
  654.7   3679    7.3    6.8     96   9.53    290    4.6  316.6  346.8  318.4
  646.3   3786    8.1    4.6     79   8.25    279    3.9  318.5  345.0  320.1
  560.8   4946    1.7    0.1     89   6.88    279    5.2  324.2  346.9  325.5
  555.0   5029    1.6    0.0     89   6.93    294    5.0  325.1  348.0  326.4
  500.0   5866   -2.9   -2.9    100   6.20     32    0.7  329.5  350.4  330.7
  496.8   5917   -3.2   -3.2    100   6.12    192    0.2  329.7  350.4  330.9
  490.1   6024   -2.8   -4.6     88   5.58    248    1.5  331.4  350.5  332.5
  476.3   6252   -3.2   -7.3     73   4.65    129    1.0  333.7  349.8  334.6
  434.3   6975   -9.1   -9.5     97   4.30    140    0.1  335.1  350.1  335.9
  431.8   7020   -9.5   -9.7     98   4.24    199    0.9  335.2  350.1  336.0
  423.5   7169   -9.4  -13.6     72   3.18    155    3.2  337.1  348.5  337.8
  406.6   7484  -10.7  -16.4     63   2.61    193    2.5  339.3  348.9  339.9
  400.0   7609  -11.7  -16.5     68   2.65    228    3.4  339.7  349.3  340.3
  396.2   7682  -12.1  -15.6     75   2.87    230    3.5  340.1  350.5  340.7
  329.0   9081  -20.9  -29.3     47   1.03    119    2.2  346.5  350.6  346.7
  327.5   9113  -21.1  -25.9     65   1.42    114    2.6  346.7  352.1  347.0
  315.6   9387  -22.5  -30.2     49   0.99    113    4.9  348.5  352.4  348.7
  315.2   9397  -22.6  -30.3     49   0.98    114    5.0  348.5  352.4  348.7
  308.8   9546  -23.7  -38.1     25   0.47    111    4.8  349.0  350.9  349.1
  306.3   9605  -24.2  -32.3     47   0.83    112    4.4  349.1  352.4  349.3
  302.2   9704  -24.8  -37.9     29   0.49    115    4.1  349.6  351.6  349.7
  300.0   9756  -25.3  -37.1     32   0.53    118    4.0  349.6  351.8  349.7
  288.9  10029  -27.5  -34.7     50   0.70    124    2.2  350.3  353.1  350.4
  272.2  10456  -30.4  -40.3     37   0.42    152    2.5  352.1  353.8  352.2
  250.0  11053  -35.5  -44.1     41   0.31    103    2.0  353.2  354.5  353.3
  246.3  11157  -36.3  -45.9     37   0.25    112    1.9  353.4  354.5  353.5
  231.5  11582  -40.4  -46.3     53   0.26    119    2.0  353.5  354.6  353.6
  200.0  12561  -48.5  -61.5     21   0.05    147    7.4  355.7  356.0  355.7
  192.4  12816  -50.8  -61.4     27   0.05    142    7.1  356.0  356.2  356.0
  182.5  13154  -53.8  -68.4     15   0.02    155    8.3  356.6  356.7  356.6
  178.5  13298  -55.0  -67.2     21   0.03    159    8.8  356.9  357.0  356.9
  167.3  13707  -58.8  -65.5     42   0.03    147    6.1  357.3  357.4  357.3
  163.4  13856  -60.2  -68.1     35   0.02    151    6.1  357.3  357.4  357.3
  160.3  13975  -61.2  -71.4     25   0.02    141    5.7  357.6  357.7  357.7
  157.0  14104  -62.0  -75.2     16   0.01    155    4.4  358.3  358.4  358.3
  150.0  14384  -64.3  -76.0     19   0.01    187    3.7  359.1  359.1  359.1
  123.4  15547  -74.0  -80.0     40   0.01    328    1.5  362.1  362.1  362.1
  114.9  15960  -77.3  -81.0     56   0.00      4    3.4  363.4  363.4  363.4
  108.6  16283  -79.4  -83.7     49   0.00     20    5.1  365.4  365.4  365.4
  100.1  16741  -81.2  -84.8     55   0.00     44   13.3  370.5  370.5  370.5
  100.0  16749  -81.2  -84.8     55   0.00     44   13.3  370.5  370.5  370.5
  100.0  16749  -81.2  -84.8     55   0.00     44   13.3  370.5  370.5  370.5
   96.3  16962  -82.1  -85.8     54   0.00     59   12.3  372.8  372.8  372.8
