Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     54                                                               
  998.7     66   31.8   26.4     73  22.17    207    0.5  305.1  372.0  309.1
  977.4    260   29.1   24.1     75  19.75    282    3.5  304.2  363.5  307.8
  925.0    749   25.7   20.3     72  16.44    292    3.9  305.6  355.1  308.6
  887.9   1109   23.0   18.5     76  15.27    289    5.5  306.4  352.5  309.2
  850.0   1489   20.4   18.1     87  15.61    273    5.7  307.5  354.9  310.4
  798.5   2028   16.5   15.9     96  14.41    265    7.0  308.9  352.9  311.6
  790.7   2112   16.2   15.2     94  13.91    261    7.4  309.4  351.9  312.0
  778.1   2248   15.7   13.2     85  12.39    288    6.3  310.3  348.4  312.6
  753.8   2519   14.5   12.5     88  12.19    258    5.5  311.9  349.6  314.2
  734.2   2741   13.4    9.4     77  10.16    280    5.1  313.0  344.7  314.9
  712.5   2993   12.2    6.9     70   8.80    241    5.1  314.3  342.1  316.0
  711.7   3003   12.2    6.7     69   8.70    241    5.3  314.4  341.8  316.1
  700.0   3142   11.1    8.1     82   9.75    244    6.0  314.8  345.4  316.6
  697.8   3168   11.0    8.1     83   9.77    247    6.1  314.9  345.6  316.7
  689.3   3271   10.6    6.9     77   9.09    261    6.0  315.6  344.4  317.3
  678.2   3406    9.8    6.1     78   8.72    245    7.5  316.1  343.8  317.8
  646.0   3810    7.8    4.5     80   8.23    257    5.5  318.3  344.7  319.9
  632.9   3979    6.9    4.2     83   8.22    280    5.6  319.2  345.6  320.8
  615.6   4207    5.7    4.2     90   8.42    260    5.0  320.3  347.4  321.9
  597.4   4452    4.0    2.4     89   7.64    291    5.0  321.1  345.9  322.5
  587.5   4588    3.2    2.6     96   7.91    289    4.8  321.7  347.5  323.3
  576.2   4746    3.6   -0.0     77   6.64    290    5.5  324.0  345.9  325.3
  555.9   5037    1.9   -1.7     77   6.08    285    7.9  325.3  345.5  326.5
  532.6   5382   -0.1   -3.0     81   5.78    262    9.7  326.8  346.2  328.0
  514.3   5662   -1.6   -5.5     75   4.95    240    9.3  328.3  345.1  329.3
  503.7   5828   -2.0   -8.7     60   3.96    250    8.1  329.9  343.5  330.7
  500.0   5886   -1.9   -9.0     58   3.88    246    7.1  330.7  344.1  331.5
  492.0   6015   -2.4   -9.2     60   3.89    240    7.6  331.5  345.0  332.3
  471.5   6352   -4.7   -8.5     75   4.29    263    6.4  332.8  347.7  333.7
  467.7   6414   -5.3   -7.6     84   4.64    261    6.7  332.8  348.9  333.8
  462.4   6504   -5.3  -13.9     51   2.84    257    7.6  333.9  344.0  334.5
  436.7   6951   -8.2  -13.4     66   3.12    262    6.3  335.8  346.9  336.4
  428.5   7098   -9.1  -12.7     75   3.37    283    5.7  336.3  348.3  337.0
  426.7   7130   -9.2  -13.8     69   3.11    286    5.8  336.7  347.8  337.3
  419.6   7261   -9.9  -13.9     73   3.11    277    6.3  337.3  348.5  338.0
  415.3   7340  -10.2  -16.9     58   2.46    284    6.4  338.0  346.9  338.5
  400.0   7628  -12.1  -16.7     69   2.60    291    6.1  339.2  348.6  339.7
  395.1   7722  -12.4  -15.7     76   2.86    302    6.8  340.0  350.4  340.6
  369.7   8228  -15.8  -16.7     93   2.81    294    6.1  341.9  352.2  342.5
  357.3   8484  -17.0  -19.8     79   2.23    280    5.9  343.7  352.0  344.2
  353.3   8568  -17.3  -20.1     79   2.21    288    6.9  344.4  352.6  344.8
  348.5   8671  -18.2  -20.8     80   2.10    301    6.9  344.5  352.4  345.0
  300.0   9773  -26.1  -30.2     69   1.04    312    5.0  348.4  352.5  348.7
  288.8  10047  -27.9  -34.0     56   0.75    317    6.3  349.7  352.6  349.8
  272.6  10459  -31.3  -35.4     67   0.69    316    4.0  350.6  353.4  350.8
  270.3  10518  -31.3  -40.4     41   0.42    312    4.0  351.4  353.1  351.5
  261.6  10749  -33.2  -43.1     36   0.33    321    3.2  352.0  353.3  352.0
  258.4  10835  -33.9  -37.2     73   0.61    334    3.3  352.1  354.6  352.3
  254.7  10936  -34.7  -49.2     21   0.17    335    2.7  352.5  353.3  352.6
  251.2  11032  -35.4  -50.7     19   0.15    323    3.4  352.9  353.5  352.9
  250.0  11067  -35.7  -49.9     22   0.16    320    3.9  352.9  353.6  352.9
  244.8  11212  -37.0  -51.9     20   0.13    327    6.3  353.1  353.7  353.1
  206.3  12370  -46.9  -62.5     15   0.04    299    2.3  355.2  355.4  355.2
  201.4  12531  -48.3  -65.3     12   0.03    293    3.0  355.4  355.5  355.4
  200.0  12575  -48.6  -66.6     11   0.02    298    3.2  355.7  355.8  355.7
  193.3  12798  -50.3  -68.9      9   0.02    331    4.6  356.3  356.4  356.3
  150.0  14399  -64.5  -69.9     47   0.02    315    4.5  358.8  358.9  358.8
  143.3  14675  -66.9  -71.9     50   0.02    294    5.0  359.3  359.3  359.3
  139.1  14857  -68.5  -72.7     55   0.01    282    5.0  359.5  359.6  359.5
  132.0  15168  -71.4  -76.3     48   0.01    282    4.9  359.9  359.9  359.9
  123.6  15553  -74.7  -80.1     43   0.01    272    6.3  360.7  360.7  360.7
