Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     53                                                               
  998.6     66   28.5   25.9     86  21.59      0    0.0  301.8  365.9  305.6
  948.5    523   24.7   24.2     97  20.42    320    1.5  302.4  363.2  306.1
  925.0    744   24.0   22.0     88  18.28    218    1.8  303.9  358.6  307.2
  862.4   1356   21.0   17.2     79  14.51    105    1.0  306.9  350.8  309.6
  850.0   1482   20.3   17.0     81  14.47    219    1.1  307.3  351.2  310.0
  700.0   3136   10.9    9.8     93  10.93    258    4.8  314.5  348.7  316.5
  699.3   3144   10.8    9.9     94  11.00    260    5.1  314.5  349.0  316.6
  664.8   3566    8.5    7.7     94   9.97    281    4.2  316.5  348.1  318.4
  629.2   4021    6.5    5.0     90   8.75    290    6.9  319.2  347.3  320.9
  606.6   4321    4.9    2.8     86   7.75    282    8.9  320.7  345.9  322.2
  581.9   4659    3.4    0.6     82   6.90    305    9.7  322.8  345.4  324.1
  526.3   5468   -1.1   -1.7     96   6.46    294   10.5  326.8  348.3  328.0
  518.7   5586   -1.6   -3.0     90   5.93    288   11.6  327.6  347.5  328.8
  517.9   5597   -1.6   -3.1     89   5.90    288   11.7  327.8  347.6  328.9
  505.9   5785   -2.1   -5.9     75   4.88    296   13.0  329.3  345.9  330.3
  502.1   5845   -2.3   -5.5     79   5.06    295   13.2  329.7  347.0  330.7
  500.0   5877   -2.6   -5.5     80   5.10    295   13.1  329.9  347.2  330.9
  491.7   6010   -3.3   -5.8     83   5.08    306   11.9  330.5  347.9  331.5
  458.4   6563   -6.6   -7.8     91   4.64    318    3.3  333.0  349.1  334.0
  435.1   6967   -9.6   -9.6    100   4.26    290    5.0  334.3  349.2  335.2
  425.7   7136  -10.7  -10.7    100   3.98    327    3.6  334.9  348.9  335.7
  400.0   7615  -11.6  -15.8     71   2.81     23    3.5  339.8  350.1  340.4
  388.1   7847  -12.8  -17.2     70   2.56     21    4.5  341.1  350.5  341.7
  347.7   8676  -18.0  -24.6     56   1.51     12    3.4  345.0  350.8  345.4
  300.0   9761  -26.5  -30.4     70   1.02    341    1.5  347.9  351.9  348.1
  295.4   9872  -27.6  -30.6     75   1.02    314    0.9  347.9  351.9  348.2
  291.3   9972  -28.4  -30.7     81   1.02    288    2.0  348.1  352.1  348.3
  262.9  10702  -33.1  -43.8     34   0.30     34    1.8  351.6  352.9  351.7
  250.0  11053  -36.1  -47.2     31   0.22     55    2.7  352.2  353.2  352.3
  244.8  11199  -37.3  -50.4     24   0.15     69    2.3  352.6  353.2  352.6
  200.0  12560  -49.2  -61.1     24   0.05    119    1.7  354.8  355.0  354.8
  193.3  12781  -51.1  -65.0     17   0.03    157    1.3  355.1  355.3  355.1
  186.8  13005  -53.2  -63.8     26   0.04    110    2.6  355.2  355.4  355.2
  160.5  13962  -61.6  -66.4     53   0.03    154    3.9  356.7  356.9  356.7
  154.6  14192  -63.7  -69.1     48   0.02    156    3.4  357.0  357.1  357.0
  150.0  14377  -65.2  -73.5     31   0.01    136    4.1  357.6  357.6  357.6
  143.2  14659  -67.3  -76.7     26   0.01    150    3.7  358.6  358.6  358.6
  134.1  15050  -70.6  -76.5     42   0.01    143    2.2  359.5  359.6  359.5
  129.5  15256  -72.0  -77.6     43   0.01     79    4.4  360.7  360.8  360.7
  125.4  15447  -72.8  -80.2     32   0.01     64    5.0  362.5  362.5  362.5
  123.6  15531  -73.5  -80.0     36   0.01     60    5.1  362.9  362.9  362.9
  115.7  15915  -75.8  -82.4     35   0.00    332    6.3  365.5  365.5  365.5
  113.4  16032  -76.7  -83.5     33   0.00    324    8.1  366.0  366.0  366.0
  106.6  16387  -78.4  -83.7     42   0.00      4   10.9  369.2  369.3  369.2
  106.2  16407  -78.5  -83.7     42   0.00      8   10.7  369.4  369.5  369.4
  100.0  16749  -77.3  -83.2     39   0.00     66   14.7  378.2  378.2  378.2
  100.0  16749  -77.3  -83.2     39   0.00     66   14.7  378.2  378.2  378.2
   94.9  17054  -75.7  -84.4     24   0.00     81   13.1  387.0  387.0  387.0
   86.7  17571  -76.7  -86.6     20   0.00     83   10.6  395.0  395.0  395.0
   83.9  17760  -77.0  -87.0     19   0.00     76   13.2  398.1  398.2  398.1
   83.2  17811  -77.1  -87.2     19   0.00     78   14.7  398.9  398.9  398.9
   77.0  18257  -74.1  -88.3     10   0.00     96   15.0  414.1  414.1  414.1
   71.3  18704  -71.6  -89.4      6   0.00     72   17.2  428.6  428.6  428.6
   70.0  18815  -71.2  -90.0      5   0.00     75   18.1  431.7  431.7  431.7
   64.2  19334  -68.4  -90.0      3   0.00     89   21.2  448.6  448.7  448.6
   59.7  19767  -66.2  -90.2      2   0.00     99   17.0  463.0  463.0  463.0
   58.0  19940  -66.0  -90.0      2   0.00     88   13.5  467.4  467.4  467.4
   57.3  20022  -66.4  -90.1      2   0.00     85   12.9  467.9  467.9  467.9
   54.3  20345  -67.2  -90.3      3   0.00     78   19.0  473.3  473.3  473.3
   50.0  20838  -67.6  -90.7      2   0.00     72   19.9  483.7  483.7  483.7
