Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     40                                                               
  997.1     66   28.7   25.3     82  20.84      0    0.0  302.1  364.1  305.8
  925.0    731   24.6   21.1     81  17.30     83    3.3  304.5  356.3  307.6
  850.0   1471   21.1   17.9     82  15.40    116    1.1  308.2  355.1  311.0
  700.0   3130   12.3    7.9     74   9.60    268    0.5  316.1  346.5  317.9
  690.7   3242   12.0    6.9     71   9.06    253    0.9  317.0  345.8  318.7
  687.0   3288   12.0    6.6     69   8.95    273    1.2  317.5  346.0  319.2
  574.5   4762    2.9   -1.4     73   6.04     74    3.0  323.5  343.4  324.6
  548.9   5131    0.2   -0.5     95   6.73     47    2.5  324.4  346.6  325.7
  526.4   5466   -0.8   -4.3     77   5.31     31    3.1  327.2  345.1  328.3
  523.3   5513   -0.5   -4.5     74   5.25     27    3.2  328.1  345.8  329.1
  510.3   5714   -2.2   -7.6     67   4.26     53    2.0  328.4  342.9  329.2
  505.1   5796   -2.6  -13.8     42   2.62     56    2.0  328.9  338.1  329.4
  500.0   5876   -3.3  -12.3     50   2.98     43    2.2  329.0  339.4  329.6
  486.4   6093   -4.5  -13.7     49   2.74     81    0.7  330.1  339.7  330.6
  478.7   6220   -5.6  -13.6     53   2.80     69    2.4  330.3  340.1  330.8
  469.6   6369   -7.1   -8.2     92   4.39     71    3.7  330.2  345.2  331.0
  455.7   6604   -6.7  -12.1     65   3.33     44    6.1  333.6  345.3  334.2
  447.8   6741   -7.2  -13.2     62   3.10     40    7.8  334.6  345.6  335.2
  439.7   6883   -7.6  -15.3     54   2.66     32    5.1  335.8  345.4  336.4
  425.9   7131   -9.0  -23.2     30   1.39    335    1.9  337.2  342.3  337.4
  409.0   7442  -11.3  -27.9     24   0.95    214    0.7  338.0  341.6  338.2
  403.6   7544  -12.0  -30.4     20   0.76    172    2.6  338.4  341.3  338.5
  400.0   7613  -12.6  -29.7     22   0.81    175    3.7  338.5  341.6  338.7
  385.5   7893  -15.0  -28.5     31   0.95    159    4.6  339.0  342.6  339.2
  376.3   8076  -16.3  -21.9     62   1.76    125    3.7  339.6  346.1  340.0
  364.7   8310  -17.4  -23.5     59   1.59    140    5.0  341.1  347.1  341.4
  350.9   8598  -19.6  -25.6     59   1.36    113    7.5  342.0  347.1  342.3
  341.8   8793  -21.2  -26.9     60   1.24    113    7.8  342.4  347.1  342.6
  323.0   9209  -23.5  -26.1     80   1.42     64    8.4  344.8  350.2  345.0
  300.1   9742  -28.0  -30.2     81   1.04     63    7.9  345.7  349.8  346.0
  300.0   9744  -28.0  -30.2     81   1.04     64    7.9  345.7  349.8  346.0
  298.9   9771  -28.3  -30.1     85   1.06     66    8.2  345.7  349.8  345.9
  290.3   9980  -29.2  -35.2     56   0.66     72   14.6  347.4  350.0  347.5
  282.2  10182  -29.3  -50.9     11   0.13     84   16.7  350.0  350.5  350.0
  274.7  10373  -30.5  -46.3     20   0.22     69   15.0  350.9  351.9  351.0
  271.6  10455  -31.2  -45.3     24   0.25     63   14.9  351.1  352.2  351.2
  257.1  10839  -34.7  -42.0     47   0.37     64   12.9  351.6  353.1  351.6
  256.3  10863  -34.9  -41.9     49   0.38     65   12.7  351.6  353.1  351.6
  250.0  11035  -35.7  -47.3     30   0.21     77   13.4  352.8  353.7  352.8
  248.6  11074  -35.9  -51.3     19   0.14     80   13.3  353.2  353.8  353.2
  245.1  11174  -36.6  -49.1     26   0.18     83   13.1  353.6  354.4  353.6
  214.6  12077  -44.5  -53.5     36   0.12     73   11.8  355.0  355.5  355.0
  211.0  12192  -45.3  -55.0     33   0.10     73   12.1  355.4  355.9  355.5
  200.0  12546  -48.1  -65.9     11   0.03     89    8.8  356.5  356.6  356.5
  198.6  12593  -48.4  -68.1      8   0.02     90    8.8  356.6  356.7  356.6
  192.8  12786  -49.7  -67.7     10   0.02     93   10.5  357.6  357.7  357.6
  182.3  13149  -52.9  -66.2     18   0.03     76   11.6  358.2  358.4  358.2
  166.8  13717  -56.9  -73.2     11   0.01     94    7.6  360.8  360.8  360.8
  164.6  13802  -57.5  -73.6     11   0.01    103    8.0  361.1  361.2  361.1
  162.3  13890  -58.1  -72.8     14   0.01    108    8.5  361.5  361.6  361.5
  152.8  14269  -61.6  -69.7     33   0.02     95    8.7  361.8  361.9  361.8
  150.0  14381  -62.6  -69.2     40   0.02     99    9.3  362.1  362.2  362.1
  146.5  14526  -63.8  -68.5     52   0.03    105   10.2  362.4  362.5  362.4
  141.8  14726  -65.6  -70.8     48   0.02    106    9.8  362.6  362.7  362.6
  140.3  14788  -66.0  -71.4     47   0.02    107    9.7  363.1  363.2  363.1
  130.3  15236  -68.7  -78.0     25   0.01     93   12.7  366.0  366.0  366.0
  120.7  15687  -72.5  -78.4     41   0.01     78   13.5  367.1  367.1  367.1
  112.1  16122  -75.6  -82.9     32   0.00    106   17.5  369.1  369.1  369.1
  100.1  16768  -79.7  -84.1     48   0.00     83   21.0  373.4  373.4  373.4
  100.0  16774  -79.7  -84.1     48   0.00     83   21.0  373.5  373.5  373.5
