Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     51                                                               
  998.3     66   27.6   24.3     82  19.47    151    0.4  300.9  358.4  304.4
  960.6    406   24.1   23.0     94  18.78    216    5.1  300.7  356.1  304.1
  954.5    462   23.6   22.8     95  18.56    214    6.1  300.7  355.5  304.1
  936.8    627   23.5   21.9     91  17.92    216    8.0  302.2  355.4  305.4
  925.0    737   22.4   21.8     96  18.04    211    6.3  302.2  355.7  305.4
  916.2    821   22.1   21.6     97  18.01    203    5.0  302.8  356.4  306.0
  906.7    912   22.3   21.1     93  17.59    189    3.7  303.9  356.4  307.0
  868.3   1288   19.8   19.8    100  17.01    179    3.8  305.0  356.1  308.1
  850.0   1473   18.9   18.9    100  16.40    201    4.2  305.9  355.4  308.9
  700.0   3124   11.5    8.8     84  10.21    226    3.0  315.1  347.3  317.1
  697.5   3154   11.3    8.2     81   9.86    227    2.9  315.3  346.3  317.1
  625.3   4061    5.9    5.4     97   9.06    325    0.1  319.1  348.1  320.8
  545.9   5163    0.2    0.2    100   7.14    266    1.5  324.9  348.5  326.3
  526.5   5454   -0.7   -0.8     99   6.88    281    0.3  327.2  350.2  328.6
  505.5   5779   -1.5   -3.7     86   5.80    284    3.6  330.1  349.7  331.2
  500.0   5867   -2.0   -4.0     86   5.69    286    3.3  330.5  349.9  331.6
  400.0   7610  -11.5  -17.4     61   2.45     73    2.3  340.0  349.0  340.5
  379.0   8023  -13.3  -18.9     63   2.27    350    2.5  342.8  351.3  343.3
  378.0   8042  -13.2  -19.4     60   2.19    347    2.9  343.2  351.4  343.7
  360.0   8413  -16.7  -20.7     71   2.05    342    3.5  343.4  351.0  343.8
  346.5   8697  -18.4  -21.2     79   2.05    359    6.4  344.8  352.5  345.2
  342.6   8783  -18.7  -21.8     77   1.97    350    5.3  345.6  353.0  346.0
  310.8   9504  -23.1  -24.4     89   1.72    159    4.9  349.1  355.7  349.5
  300.0   9762  -24.8  -26.6     84   1.45    158    3.4  350.4  356.0  350.7
  290.1  10005  -26.5  -28.6     82   1.25    177    3.0  351.3  356.2  351.6
  250.0  11062  -34.9  -37.1     81   0.64    162    4.4  354.0  356.7  354.2
  245.1  11199  -36.0  -38.7     76   0.55    173    5.0  354.4  356.7  354.6
  233.9  11522  -38.7  -40.9     80   0.46    181    4.9  355.0  356.9  355.1
  228.6  11678  -39.8  -43.8     65   0.34    179    4.8  355.8  357.2  355.8
  219.4  11957  -42.2  -46.7     61   0.26    164    5.1  356.3  357.4  356.3
  200.0  12577  -47.7  -52.2     59   0.15    192    7.4  357.1  357.8  357.2
  191.6  12859  -50.1  -55.2     55   0.11    198    8.0  357.6  358.1  357.6
  164.3  13842  -58.8  -66.9     35   0.03    234    6.0  359.1  359.2  359.1
  161.2  13963  -59.7  -66.9     38   0.03    245    8.0  359.6  359.7  359.6
  156.8  14133  -61.2  -66.2     51   0.03    239    9.7  359.8  360.0  359.8
  150.0  14408  -63.8  -69.3     47   0.02    253    9.2  359.9  360.0  359.9
  145.1  14611  -65.8  -70.0     56   0.02    253    8.1  359.9  360.0  359.9
  135.7  15015  -69.6  -74.1     52   0.01    250    7.7  360.1  360.2  360.1
  131.2  15212  -71.5  -77.0     44   0.01    261    5.2  360.3  360.4  360.3
  131.0  15223  -71.5  -77.1     43   0.01    261    5.0  360.3  360.4  360.3
  123.0  15593  -74.3  -79.7     43   0.01    301    2.9  361.9  362.0  361.9
  109.9  16242  -78.3  -82.4     51   0.00     69    5.0  366.2  366.2  366.2
  104.5  16528  -80.4  -84.2     53   0.00    103    8.0  367.5  367.5  367.5
  103.0  16611  -80.6  -84.4     53   0.00    102    9.0  368.6  368.7  368.6
  100.2  16764  -80.7  -84.2     56   0.00    102    9.9  371.3  371.3  371.3
  100.0  16775  -80.7  -84.2     56   0.00    102    9.9  371.5  371.5  371.5
  100.0  16775  -80.7  -84.2     56   0.00    102    9.9  371.5  371.5  371.5
   93.8  17134  -82.9  -85.4     66   0.00    122   10.4  374.0  374.0  374.0
   91.1  17294  -82.4  -85.0     64   0.00    126    9.6  378.2  378.2  378.2
   87.5  17524  -80.9  -85.0     51   0.00    103    8.9  385.6  385.6  385.6
   85.5  17652  -79.1  -85.0     37   0.00     87   10.1  391.8  391.8  391.8
   83.1  17815  -75.0  -84.6     21   0.00     87   13.0  403.3  403.4  403.3
   82.3  17875  -75.0  -85.6     18   0.00     87   12.7  404.4  404.4  404.4
   79.8  18056  -74.7  -87.5     12   0.00    107   11.6  408.7  408.7  408.7
   78.7  18137  -75.1  -87.9     12   0.00     96   10.7  409.4  409.4  409.4
   76.7  18285  -74.5  -87.9     11   0.00     66   13.8  413.7  413.7  413.7
   70.0  18820  -69.6  -88.7      5   0.00     82   18.8  435.1  435.1  435.1
   67.6  19026  -68.3  -88.9      4   0.00     87   17.2  442.4  442.4  442.4
   66.1  19159  -68.6  -89.1      4   0.00     97   19.6  444.5  444.5  444.5
   63.3  19422  -68.5  -89.1      4   0.00    106   17.4  450.2  450.2  450.2
