Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     54                                                               
  998.7     66   29.6   25.4     78  20.84      8    0.1  302.9  365.0  306.6
  947.8    532   26.2   23.7     86  19.80    253    4.2  304.0  363.3  307.6
  925.0    748   25.2   21.7     81  17.93    257    4.7  305.0  358.9  308.3
  904.4    946   24.0   20.3     80  16.85    257    5.0  305.8  356.6  308.9
  850.0   1488   21.0   17.5     80  14.96    256    7.3  308.2  353.7  310.9
  834.7   1646   20.3   15.2     73  13.12    259    8.8  309.0  349.1  311.4
  805.5   1953   19.1   12.1     64  11.08    262    7.4  310.9  345.1  313.0
  771.5   2323   17.0   12.0     72  11.52    270    7.3  312.5  348.3  314.6
  748.6   2580   15.5   10.5     72  10.74    265    6.7  313.6  347.1  315.6
  735.8   2726   14.6    9.8     73  10.41    245    5.7  314.1  346.7  316.0
  700.0   3147   11.5    8.9     84  10.31    263    5.5  315.2  347.6  317.2
  685.7   3320   10.5    8.5     87  10.20    272    5.9  315.9  348.1  317.8
  671.2   3497    9.2    8.2     93  10.24    261    5.6  316.4  348.8  318.4
  642.3   3862    7.0    6.3     95   9.37    272    6.4  317.9  347.8  319.7
  618.7   4170    6.0    4.6     90   8.64    281    6.9  320.2  348.1  321.9
  603.7   4371    5.5    2.6     82   7.68    277    6.9  321.9  346.9  323.3
  583.5   4648    3.1    2.0     92   7.63    272    8.2  322.3  347.2  323.7
  550.9   5113    0.1    0.1    100   7.05    285    6.9  324.0  347.3  325.4
  533.3   5375    0.0   -2.2     85   6.14    300    7.1  326.9  347.5  328.1
  529.1   5437   -0.1   -2.3     85   6.12    297    6.6  327.5  348.0  328.7
  500.0   5890   -2.1   -6.0     74   4.89    277    6.6  330.4  347.1  331.4
  488.9   6068   -2.9   -7.3     72   4.54    258    6.1  331.6  347.2  332.5
  472.9   6332   -5.1   -6.6     89   4.97    248    5.8  332.0  349.1  333.0
  430.5   7064   -9.6   -9.7     99   4.26    241    3.0  335.3  350.3  336.2
  405.6   7523  -11.2  -14.7     75   3.02    287    2.5  339.0  349.9  339.6
  400.0   7630  -12.1  -16.0     73   2.75    317    3.9  339.1  349.1  339.7
  398.4   7660  -12.3  -16.6     70   2.64    320    4.1  339.3  348.9  339.9
  369.4   8235  -15.4  -17.7     82   2.58    325    5.0  342.6  352.1  343.1
  362.9   8370  -16.1  -18.7     81   2.43    331    4.5  343.3  352.3  343.8
  341.7   8820  -19.2  -21.7     81   1.98    333    5.2  345.1  352.6  345.5
  318.3   9345  -22.6  -26.1     73   1.43    319    6.3  347.4  352.9  347.7
  316.2   9394  -22.8  -26.9     69   1.35    321    6.5  347.8  353.1  348.1
  302.6   9714  -25.1  -27.5     81   1.33    349    8.4  349.0  354.1  349.3
  302.1   9726  -25.2  -27.5     81   1.33    349    8.5  349.0  354.2  349.3
  300.0   9777  -25.5  -27.9     80   1.29    349    8.7  349.3  354.3  349.6
  280.5  10262  -28.7  -32.4     70   0.90    338    6.9  351.4  355.0  351.6
  266.2  10634  -31.8  -35.6     69   0.70    343    6.6  352.3  355.1  352.4
  260.4  10788  -33.0  -36.5     71   0.65    330    6.5  352.7  355.3  352.8
  250.0  11074  -35.4  -39.1     69   0.52    340    6.2  353.3  355.5  353.5
  200.0  12585  -48.5  -52.3     64   0.15    360    6.5  355.8  356.5  355.8
  197.4  12672  -49.3  -53.3     63   0.14      4    6.2  355.9  356.5  355.9
  188.7  12966  -51.5  -55.8     60   0.11    343    7.2  356.9  357.4  357.0
  178.6  13319  -54.7  -60.4     49   0.06    327    6.9  357.3  357.6  357.3
  177.6  13353  -55.1  -60.9     48   0.06    326    7.1  357.3  357.6  357.3
  170.5  13614  -57.6  -62.6     53   0.05    324    7.0  357.4  357.6  357.4
  165.2  13811  -59.4  -63.1     61   0.05    346    7.8  357.6  357.8  357.6
  164.5  13839  -59.6  -63.5     61   0.05    346    8.0  357.6  357.8  357.6
  154.3  14235  -63.5  -68.3     52   0.03    338    8.7  357.5  357.7  357.5
  150.0  14408  -65.2  -69.6     54   0.02    352    9.2  357.6  357.7  357.6
  143.4  14681  -67.7  -72.7     49   0.01      4    8.4  357.8  357.8  357.8
  141.1  14777  -68.6  -73.4     50   0.01     10    9.3  357.9  358.0  357.9
  127.5  15375  -72.9  -77.8     47   0.01    329    9.0  360.7  360.7  360.7
  113.8  16036  -76.6  -80.9     50   0.01     31    7.4  365.7  365.7  365.7
  110.3  16218  -77.9  -81.6     55   0.00     63    6.3  366.5  366.5  366.5
  105.3  16482  -79.9  -83.1     60   0.00     44    7.4  367.6  367.6  367.6
  100.2  16763  -79.8  -83.3     56   0.00     54    8.2  373.1  373.1  373.1
  100.0  16772  -79.5  -83.1     55   0.00     54    8.2  373.9  373.9  373.9
  100.0  16772  -79.5  -83.1     55   0.00     54    8.2  373.9  373.9  373.9
   98.0  16886  -79.6  -83.1     56   0.00     77   11.6  375.9  376.0  375.9
   93.7  17140  -78.1  -83.7     40   0.00     67   13.9  383.6  383.6  383.6
