Latitude: 22.311 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1003.0     66   28.2   26.2     89  21.86    242    1.0  301.1  365.9  305.0
 1000.0     92   28.0   25.1     84  20.44    255    1.4  301.2  361.7  304.8
  939.4    646   23.6   22.7     95  18.82    270    3.6  302.1  357.9  305.4
  925.0    781   23.3   20.1     82  16.18    263    4.6  303.2  351.4  306.1
  907.8    946   22.7   18.2     75  14.60    246    5.1  304.2  347.9  306.8
  898.7   1033   22.0   19.5     86  16.09    257    5.4  304.3  352.4  307.2
  893.2   1087   22.3   16.8     71  13.61    265    5.1  305.1  346.1  307.6
  886.3   1154   22.3   15.7     66  12.78    273    4.1  305.8  344.4  308.2
  865.6   1360   22.1   13.2     57  11.07    266    1.9  307.7  341.4  309.7
  850.0   1518   21.0   14.3     66  12.15    231    1.4  308.1  345.2  310.3
  749.3   2598   14.1    9.6     74  10.06    316    2.3  312.0  343.2  313.8
  713.8   3008   11.8    6.9     72   8.79    303    1.2  313.8  341.4  315.5
  706.1   3098   11.5    6.5     72   8.64    287    0.7  314.4  341.6  316.0
  700.0   3171   11.2    4.7     64   7.66    274    0.6  314.8  339.1  316.3
  683.7   3368   11.1   -2.6     38   4.61    257    1.5  316.8  331.9  317.7
  679.3   3422   10.5    2.8     59   6.93    258    1.9  316.7  339.0  318.1
  653.4   3745    9.4   -7.3     30   3.38    305    2.2  319.1  330.4  319.8
  650.7   3778    9.3   -4.6     37   4.17    313    2.3  319.3  333.1  320.1
  625.0   4111    6.0    1.7     74   6.97    329    5.1  319.3  341.8  320.6
  616.4   4225    5.0    2.0     81   7.22    325    4.1  319.4  342.8  320.8
  600.2   4442    3.9    0.7     80   6.73    317    2.9  320.5  342.4  321.8
  588.4   4604    3.3   -5.8     51   4.23    286    3.6  321.7  335.8  322.5
  584.5   4658    2.8   -5.7     54   4.30    294    3.8  321.8  336.1  322.6
  581.9   4693    2.5   -0.1     83   6.53    297    4.0  321.7  343.1  323.0
  574.0   4803    1.6   -0.4     87   6.48    300    4.9  321.9  343.2  323.2
  562.8   4963    0.8   -2.2     80   5.78    306    5.0  322.9  342.0  324.0
  549.5   5155    0.1   -4.3     72   5.07    288    5.2  324.2  341.1  325.2
  548.7   5166    0.0   -4.2     73   5.10    288    5.1  324.3  341.3  325.3
  526.1   5503   -2.2   -6.0     75   4.66    311    5.8  325.6  341.3  326.5
  518.7   5616   -2.9   -6.7     75   4.48    301    6.7  326.0  341.1  326.8
  500.0   5906   -4.2   -6.3     85   4.79    291    5.6  327.8  344.1  328.8
  495.4   5978   -4.6   -6.8     84   4.66    292    5.4  328.3  344.1  329.2
  484.5   6154   -6.0   -7.1     91   4.64    304    5.1  328.7  344.4  329.6
  473.0   6342   -7.4   -8.0     95   4.43    292    1.5  329.2  344.3  330.1
  457.3   6604   -8.3  -10.2     86   3.86    318    0.0  331.2  344.6  332.0
  436.0   6974   -9.3  -14.1     68   2.96     51    1.3  334.5  345.0  335.1
  400.0   7635  -14.1  -19.4     64   2.06    113    3.0  336.6  344.1  337.0
  391.7   7793  -15.4  -20.8     64   1.88    121    4.1  336.9  343.7  337.2
  379.5   8031  -16.5  -31.0     27   0.76    146    5.0  338.5  341.4  338.6
  379.0   8041  -16.5  -32.5     24   0.66    147    5.0  338.6  341.2  338.7
  366.0   8303  -19.0  -29.6     39   0.90    137    5.2  338.7  342.2  338.9
  362.5   8373  -19.7  -29.3     42   0.93    126    4.9  338.7  342.3  338.9
  358.8   8451  -20.4  -22.7     81   1.72    112    4.8  338.8  345.2  339.1
  352.9   8573  -21.5  -22.5     92   1.78    103    4.7  338.8  345.4  339.2
  340.6   8833  -23.2  -26.7     73   1.26     82    4.5  339.9  344.7  340.2
  326.2   9148  -26.0  -26.8     93   1.32     52    5.1  340.4  345.4  340.7
  318.3   9324  -27.4  -27.8     96   1.22     65    6.1  340.8  345.5  341.1
  315.9   9380  -26.7  -32.5     58   0.79     69    6.5  342.5  345.6  342.7
  306.2   9605  -28.5  -38.9     36   0.43     79    9.2  343.1  344.9  343.2
  302.0   9704  -29.0  -42.7     25   0.29     76    9.6  343.7  344.9  343.8
  300.0   9750  -29.4  -38.4     41   0.46     75    9.5  343.8  345.7  343.9
  298.1   9795  -29.8  -36.8     51   0.55     73    9.6  343.8  346.0  344.0
  294.8   9876  -30.6  -38.6     46   0.46     74    9.6  343.9  345.7  344.0
  293.9   9897  -30.8  -34.3     71   0.72     74    9.5  343.9  346.7  344.1
  291.3   9959  -31.3  -33.8     79   0.75     73    9.6  344.0  346.9  344.1
  287.2  10060  -31.8  -47.3     20   0.19     71   10.0  344.8  345.6  344.8
  272.2  10436  -34.4  -53.0     13   0.10     71   12.6  346.2  346.7  346.3
  263.3  10669  -35.9  -40.4     63   0.43     68   14.3  347.4  349.1  347.5
  262.1  10700  -36.1  -41.6     57   0.38     68   14.5  347.5  349.0  347.6
  261.3  10721  -36.1  -44.0     44   0.30     68   14.6  347.8  349.1  347.9
  259.4  10771  -36.1  -47.3     31   0.21     67   14.5  348.6  349.5  348.6
