Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1001.9     66   29.0   26.4     86  22.17    297    1.0  302.0  368.0  306.0
 1000.0     83   28.5   26.3     88  21.99    247    2.1  301.6  366.9  305.5
  969.9    355   26.2   25.0     93  20.93    253    5.1  301.9  364.1  305.7
  967.1    380   25.9   24.4     92  20.31    253    5.3  301.9  362.2  305.6
  925.0    773   23.8   21.0     84  17.18    225    5.8  303.7  355.0  306.8
  906.2    953   23.0   19.6     81  16.02    227    7.3  304.6  352.6  307.5
  900.7   1006   22.8   19.1     80  15.59    226    6.9  304.9  351.7  307.7
  895.2   1060   23.4   17.1     68  13.84    227    5.8  306.1  347.9  308.6
  850.0   1512   21.2   15.2     68  12.87    195    3.0  308.4  347.6  310.7
  760.2   2473   17.2    7.7     54   8.72    218    1.3  314.0  341.4  315.6
  736.6   2742   16.4    5.9     50   7.92    238    3.6  316.0  341.2  317.5
  700.0   3174   13.3    4.3     54   7.47    238    2.7  317.2  341.1  318.6
  626.6   4097    6.4    1.5     71   6.83    103    2.0  319.5  341.6  320.8
  608.6   4335    5.7   -6.0     43   4.03    129    4.1  321.3  334.8  322.1
  604.1   4396    5.1   -1.1     65   5.88    136    4.3  321.3  340.6  322.5
  566.6   4915    1.1   -3.1     74   5.40    145    5.2  322.6  340.5  323.7
  547.8   5187   -0.9   -5.5     71   4.65    132    5.2  323.3  338.9  324.3
  536.1   5359   -1.1  -13.0     40   2.63    136    4.3  325.1  334.2  325.6
  516.9   5649   -3.2  -11.0     55   3.21    119    5.1  325.9  336.9  326.5
  503.3   5859   -5.3  -10.9     65   3.33    129    6.3  325.9  337.3  326.6
  500.0   5911   -5.6  -11.9     61   3.09    130    6.4  326.2  336.8  326.8
  499.2   5924   -5.6  -12.1     60   3.04    129    6.3  326.2  336.7  326.8
  490.1   6067   -6.0  -17.5     40   1.98    110    5.3  327.6  334.5  327.9
  482.9   6184   -6.7  -17.4     42   2.03     90    5.9  328.1  335.3  328.5
  477.1   6278   -7.3  -17.3     45   2.07     94    7.0  328.4  335.7  328.8
  471.7   6366   -7.7  -19.9     37   1.68    107    7.7  329.0  335.0  329.3
  468.0   6427   -7.1  -25.3     22   1.05    111    8.6  330.4  334.3  330.7
  463.0   6510   -7.4  -34.2     10   0.46    115    9.3  331.2  333.0  331.3
  457.5   6603   -7.9  -30.4     15   0.67    123    9.4  331.6  334.1  331.7
  429.5   7092  -10.6  -34.0     13   0.50    103    9.2  334.2  336.2  334.3
  414.8   7360  -12.1  -40.9      7   0.26    115   10.4  335.7  336.8  335.8
  400.0   7636  -13.6  -42.6      7   0.22    102    7.7  337.3  338.2  337.3
  394.7   7737  -14.1  -42.2      7   0.24    103    6.7  337.9  338.8  337.9
  340.1   8846  -23.3  -35.7     31   0.54     94    5.7  340.0  342.1  340.1
  338.1   8890  -23.7  -35.1     34   0.57     95    6.1  340.0  342.3  340.2
  331.9   9025  -24.5  -34.3     40   0.63    106    6.4  340.7  343.2  340.8
  317.0   9358  -25.8  -42.3     20   0.29    116    5.1  343.5  344.7  343.5
  310.4   9510  -26.8  -45.3     16   0.22    109    5.9  344.2  345.1  344.2
  304.5   9648  -27.9  -44.2     19   0.25    118    6.2  344.5  345.6  344.6
  300.0   9755  -28.6  -45.8     17   0.21    105    5.2  345.0  345.9  345.0
  294.2   9894  -29.5  -46.9     17   0.19     91    5.8  345.6  346.4  345.6
  284.8  10126  -30.6  -50.9     12   0.12    105    8.1  347.2  347.8  347.2
  281.0  10221  -31.5  -52.0     11   0.11    109    6.8  347.4  347.8  347.4
  267.3  10573  -34.4  -53.8     12   0.09     92    5.7  348.0  348.5  348.1
  250.0  11036  -38.1  -58.0     11   0.06    126    4.8  349.3  349.5  349.3
  248.3  11083  -38.4  -59.5      9   0.05    129    4.8  349.5  349.7  349.5
  241.8  11266  -40.1  -57.3     14   0.07    137    4.2  349.6  349.9  349.6
  230.3  11596  -42.8  -58.7     16   0.06    133    6.8  350.4  350.7  350.4
  214.5  12070  -46.1  -63.0     13   0.04    172    7.0  352.5  352.6  352.5
  200.0  12532  -50.5  -65.6     15   0.03    174    6.9  352.7  352.8  352.7
  191.7  12806  -52.8  -66.1     18   0.03    173    6.2  353.2  353.3  353.2
  177.5  13297  -56.9  -66.3     29   0.03    132    5.4  354.4  354.5  354.4
  172.2  13490  -58.2  -66.1     36   0.03    135    5.3  355.2  355.4  355.3
  171.9  13501  -58.2  -66.2     35   0.03    134    5.0  355.5  355.6  355.5
  168.3  13632  -58.9  -67.3     33   0.03     90    6.2  356.5  356.6  356.5
  156.0  14107  -62.3  -68.9     41   0.02     78   10.2  358.4  358.5  358.4
  155.0  14145  -62.7  -69.4     40   0.02     78    9.9  358.4  358.5  358.4
  150.0  14346  -64.2  -72.3     33   0.01     90    9.6  359.2  359.3  359.2
  144.8  14562  -65.6  -79.2     13   0.01     97    9.4  360.6  360.6  360.6
  124.7  15456  -72.6  -79.9     32   0.01    113   13.2  363.6  363.6  363.6
  122.2  15574  -73.5  -81.2     30   0.00    110   12.4  363.9  364.0  364.0
