Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1003.3     66   30.7   25.6     74  20.97    273    1.0  303.6  366.4  307.4
 1000.0     95   29.6   25.2     77  20.55    266    3.2  302.8  364.1  306.5
  981.5    262   27.7   24.2     81  19.79    249    3.2  302.5  361.4  306.1
  925.0    787   23.7   22.4     92  18.76    272    3.2  303.6  359.6  307.0
  904.6    983   22.4   21.4     94  18.07    274    3.6  304.1  358.2  307.4
  883.8   1185   22.0   16.7     72  13.70    259    5.5  305.8  347.1  308.3
  858.8   1434   21.2   10.8     51   9.49    256    6.5  307.5  336.5  309.2
  850.0   1524   20.7   10.8     53   9.62    254    5.8  307.8  337.2  309.6
  825.9   1772   18.8   13.9     73  12.15    252    5.1  308.3  345.4  310.6
  814.7   1889   18.6   12.1     66  10.97    239    5.3  309.3  343.0  311.3
  782.7   2233   17.1    6.7     50   7.89    263    6.2  311.3  335.9  312.8
  772.9   2340   16.6    5.4     47   7.30    259    6.9  311.9  334.8  313.3
  764.5   2434   15.8    8.6     62   9.22    261    7.1  312.0  340.8  313.8
  760.9   2473   15.5    8.6     63   9.24    261    6.9  312.1  340.9  313.8
  700.0   3176   11.4    1.4     50   6.06    245    4.2  315.1  334.4  316.2
  639.3   3928    7.1   -7.3     35   3.47    239    4.4  318.4  330.0  319.1
  597.6   4481    3.6   -0.3     76   6.30    256    1.6  320.6  341.2  321.8
  582.1   4693    2.6   -1.4     75   5.95    251    3.2  321.9  341.4  323.0
  566.5   4914    2.0   -9.8     41   3.21    241    4.4  323.7  334.6  324.3
  548.3   5177    0.2   -5.1     67   4.78    258    4.3  324.6  340.6  325.5
  540.6   5289   -0.3  -10.9     45   3.09    259    4.2  325.3  335.9  325.9
  520.3   5595   -2.2  -13.2     43   2.67    266    3.9  326.5  335.8  327.0
  514.2   5689   -2.9  -11.7     51   3.05    278    3.5  326.8  337.3  327.4
  509.4   5763   -3.6   -5.0     90   5.20    279    2.4  326.8  344.3  327.8
  507.4   5794   -3.8   -4.6     94   5.38    279    2.0  327.0  345.1  328.1
  500.0   5910   -4.0   -8.1     73   4.16    263    2.5  328.1  342.3  328.9
  492.1   6035   -4.5  -13.6     49   2.72    248    3.0  328.9  338.4  329.5
  470.6   6385   -6.5   -8.5     86   4.30    285    0.1  330.8  345.6  331.6
  462.9   6515   -7.4   -7.9     97   4.58     97    2.8  331.1  346.9  332.1
  430.1   7086  -10.4  -10.4    100   4.04     63    3.7  334.4  348.6  335.2
  413.4   7390  -12.1  -13.6     89   3.26     43    3.5  335.9  347.5  336.6
  411.0   7433  -12.0  -15.3     76   2.83     35    3.0  336.7  346.9  337.3
  400.0   7641  -13.9  -15.9     85   2.78     29    2.7  336.8  346.8  337.3
  382.1   7987  -17.0  -17.0    100   2.64     37    4.1  337.1  346.7  337.7
  377.8   8072  -17.6  -17.9     97   2.48     53    3.9  337.5  346.5  338.0
  376.8   8090  -16.9  -21.6     67   1.81     56    3.9  338.6  345.3  339.0
  375.9   8110  -16.7  -20.9     70   1.93     57    3.9  339.1  346.2  339.5
  355.0   8537  -20.1  -21.9     86   1.87     88    2.7  340.2  347.1  340.5
  352.4   8590  -19.9  -32.6     31   0.70     76    2.1  341.2  343.9  341.3
  343.7   8776  -21.1  -28.0     54   1.12     50    1.4  342.0  346.3  342.3
  338.0   8900  -21.9  -25.6     72   1.41     25    2.7  342.5  347.8  342.8
  325.5   9176  -23.7  -29.2     60   1.05     15    4.8  343.8  347.9  344.0
  315.6   9400  -25.6  -29.5     70   1.05      8    6.3  344.1  348.2  344.3
  308.4   9567  -27.0  -30.0     76   1.03     30    7.7  344.5  348.5  344.7
  303.6   9681  -27.9  -30.0     82   1.05     27    8.1  344.8  348.8  345.0
  300.0   9766  -28.5  -31.4     77   0.93     29    7.5  345.0  348.7  345.2
  268.9  10541  -34.5  -39.4     61   0.47     44   10.3  347.3  349.2  347.4
  267.7  10573  -34.7  -39.2     64   0.48     43   10.8  347.4  349.4  347.5
  261.8  10728  -35.6  -44.4     40   0.28     37   12.7  348.4  349.6  348.5
  250.0  11046  -38.4  -43.6     58   0.32     38   14.6  348.8  350.2  348.9
  238.1  11378  -41.2  -45.7     62   0.27     36   17.1  349.5  350.7  349.6
  219.1  11939  -46.0  -50.8     59   0.17     33   17.7  350.4  351.2  350.5
  200.0  12537  -51.5  -56.7     54   0.09     32   15.3  351.0  351.4  351.0
  191.0  12833  -54.0  -58.0     62   0.08     21   16.4  351.6  352.0  351.6
  187.2  12962  -55.2  -59.5     58   0.07     21   17.1  351.8  352.1  351.9
  185.4  13023  -55.4  -60.1     56   0.06     20   17.3  352.4  352.7  352.4
  182.6  13120  -56.2  -60.7     57   0.06     23   16.9  352.6  352.9  352.6
  178.3  13271  -57.1  -69.8     18   0.02     26   15.2  353.7  353.7  353.7
  169.9  13577  -59.6  -68.3     31   0.02     25   13.1  354.4  354.5  354.4
  158.0  14025  -62.8  -71.4     31   0.02     53   11.0  356.3  356.4  356.3
  150.0  14344  -65.2  -73.4     31   0.01     41   10.7  357.6  357.6  357.6
