Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     38                                                               
  996.9     66   26.4   24.8     91  20.18    257    0.3  299.8  359.2  303.4
  925.0    726   23.8   20.8     83  16.92    275   12.4  303.6  354.1  306.7
  910.3    866   23.5   20.4     83  16.79    273   12.7  304.7  355.1  307.8
  902.7    940   23.7   19.2     76  15.72    270   13.3  305.6  352.9  308.5
  876.9   1194   23.6   16.8     65  13.85    261   12.7  308.1  350.3  310.7
  850.0   1466   21.6   16.3     72  13.84    268   11.9  308.7  351.0  311.3
  793.3   2062   18.1   13.3     74  12.21    251   10.7  311.2  348.9  313.4
  779.8   2210   17.3   12.9     75  12.05    266   11.5  311.9  349.2  314.1
  763.1   2395   16.4   11.4     72  11.14    243   10.1  312.8  347.5  314.9
  700.0   3126   12.3    6.5     68   8.73    254    7.1  316.1  343.8  317.7
  698.8   3140   12.4    6.5     67   8.71    254    6.5  316.3  344.0  318.0
  685.6   3300   11.0    7.8     81   9.77    260    6.1  316.6  347.5  318.4
  640.3   3868    7.1    6.0     93   9.21    267    3.1  318.3  347.7  320.0
  589.3   4549    4.5    1.5     81   7.26    153    0.0  322.9  346.7  324.3
  559.0   4978    2.1    0.7     91   7.24    102    5.0  325.0  348.9  326.4
  538.4   5281    0.4   -0.1     97   7.10    113    4.1  326.5  350.1  327.9
  500.0   5873   -2.4   -3.9     89   5.76     69    2.4  330.1  349.6  331.2
  479.2   6211   -4.1   -4.1    100   5.92      8    1.2  332.0  352.2  333.2
  437.7   6923   -6.8  -10.0     78   4.09     68    1.9  337.3  351.8  338.1
  400.0   7620  -11.1  -13.4     83   3.40     72    4.2  340.5  352.7  341.2
  395.3   7712  -11.6  -16.4     68   2.70     72    4.1  341.0  350.9  341.6
  375.7   8099  -14.4  -15.5     91   3.06     64    4.1  342.3  353.4  342.9
  356.4   8498  -16.7  -19.1     82   2.38     55    5.0  344.3  353.2  344.8
  353.8   8552  -17.0  -19.1     84   2.40     61    5.1  344.6  353.5  345.1
  352.5   8579  -16.9  -23.2     58   1.68     68    4.9  345.2  351.6  345.6
  342.4   8797  -18.2  -22.2     71   1.90     80    4.6  346.3  353.5  346.7
  332.3   9021  -20.0  -22.9     78   1.84     74    5.1  346.9  353.8  347.2
  324.7   9192  -21.2  -24.2     77   1.67     60    5.7  347.4  353.8  347.8
  308.8   9561  -24.0  -26.5     80   1.43     52    2.4  348.5  354.0  348.8
  300.0   9771  -25.5  -28.6     76   1.21     61    2.3  349.3  354.0  349.5
  250.0  11067  -35.3  -39.8     63   0.48     42    3.4  353.5  355.5  353.6
  235.8  11470  -38.5  -43.5     60   0.35    357    4.1  354.5  356.0  354.6
  210.7  12234  -45.2  -48.9     67   0.21    344    5.2  355.7  356.6  355.7
  200.0  12579  -48.2  -52.2     63   0.15    348    5.8  356.3  357.0  356.4
  189.9  12918  -51.3  -54.9     65   0.12    351    6.7  356.6  357.2  356.7
  180.2  13255  -54.2  -58.1     62   0.08    346    7.5  357.2  357.6  357.2
  174.5  13462  -56.1  -61.4     51   0.06    359    7.1  357.4  357.7  357.4
  166.8  13745  -58.5  -63.9     50   0.04    326    7.2  358.0  358.2  358.0
  154.4  14226  -62.9  -68.7     46   0.02    328    7.2  358.5  358.6  358.5
  150.0  14404  -64.4  -69.9     47   0.02    325    9.1  358.9  359.0  358.9
  147.5  14506  -65.3  -71.1     44   0.02    324    9.1  359.2  359.3  359.2
  141.7  14750  -67.4  -73.4     42   0.01    337    7.0  359.6  359.7  359.6
  120.2  15723  -74.9  -81.0     39   0.00    324    8.8  363.1  363.1  363.1
  117.6  15849  -75.6  -82.2     35   0.00    334    7.1  364.1  364.1  364.1
  114.6  15994  -76.9  -83.0     37   0.00    356    6.0  364.4  364.4  364.4
  110.7  16193  -78.4  -83.3     45   0.00     43    6.1  365.2  365.2  365.2
  106.8  16397  -80.0  -83.9     53   0.00     69    8.0  365.9  365.9  365.9
  103.9  16551  -80.1  -83.9     53   0.00     95    9.4  368.6  368.6  368.6
  100.2  16761  -79.9  -84.1     50   0.00     87    6.2  372.9  372.9  372.9
  100.0  16770  -80.0  -84.1     50   0.00     87    6.2  373.0  373.0  373.0
  100.0  16770  -80.0  -84.1     50   0.00     87    6.2  373.0  373.0  373.0
   97.2  16930  -80.4  -84.4     51   0.00     72    9.0  375.2  375.2  375.2
   94.5  17091  -81.4  -85.0     55   0.00     86   10.1  376.2  376.2  376.2
   93.1  17174  -81.1  -84.7     55   0.00     94   10.8  378.4  378.4  378.4
   89.8  17374  -80.4  -84.2     53   0.00     67   13.9  383.8  383.8  383.8
   87.2  17541  -81.0  -85.1     51   0.00     65   15.8  385.8  385.8  385.8
   84.3  17731  -80.2  -85.9     39   0.00     71   15.7  391.1  391.2  391.1
   81.9  17899  -77.6  -86.4     23   0.00     74   20.6  399.8  399.8  399.8
   79.5  18072  -73.6  -86.5     12   0.00     87   25.0  411.4  411.4  411.4
   78.4  18151  -73.4  -87.7     10   0.00     93   24.6  413.5  413.5  413.5
