Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     59                                                               
  999.3     66   26.8   25.8     94  21.33    227    0.1  300.0  362.9  303.8
  945.6    555   24.4   23.3     94  19.43    233   14.3  302.3  360.1  305.8
  925.0    749   23.3   22.6     96  19.02    237   16.3  303.2  359.9  306.6
  858.1   1404   19.5   19.2     98  16.52    245   18.8  305.7  355.4  308.7
  850.7   1478   19.3   18.2     94  15.69    248   19.1  306.2  353.6  309.1
  850.0   1485   19.3   18.1     92  15.53    248   19.1  306.4  353.2  309.2
  811.8   1882   18.8   13.7     72  12.22    250   17.8  309.9  347.4  312.1
  768.5   2352   16.3   14.1     87  13.30    241   12.1  312.0  353.2  314.5
  741.3   2659   15.5   12.4     82  12.31    248    7.8  314.4  352.9  316.7
  727.7   2817   14.4   11.8     84  12.02    263    7.3  314.9  352.6  317.2
  702.6   3112   12.1   10.7     91  11.62    242    5.0  315.6  352.1  317.8
  700.0   3144   11.9   10.6     92  11.58    246    5.7  315.7  352.1  317.9
  662.8   3600    8.8    8.8    100  10.81    265    2.0  317.1  351.4  319.2
  653.9   3712    8.3    8.2     99  10.51    267    0.5  317.8  351.2  319.8
  635.3   3951    7.8    5.8     87   9.18    341    5.1  319.9  349.4  321.6
  606.6   4331    5.8    1.8     76   7.24    355    9.2  321.8  345.4  323.2
  605.3   4349    5.7    1.9     77   7.29    358    9.3  321.8  345.6  323.2
  577.5   4731    2.5    0.7     88   7.02    338    6.9  322.4  345.4  323.8
  565.9   4896    1.4    0.3     92   6.94    309    6.9  323.0  345.8  324.4
  565.2   4905    1.4    0.3     92   6.96    308    7.0  323.2  346.1  324.6
  540.8   5261    0.1   -0.4     97   6.91    320    6.6  325.7  348.6  327.1
  528.8   5442   -0.3   -0.8     96   6.85    305    5.2  327.4  350.2  328.7
  516.7   5626   -1.4   -1.4    100   6.69    313    6.3  328.1  350.5  329.4
  500.0   5889   -2.5   -2.5    100   6.38    323    5.1  329.9  351.5  331.2
  493.6   5991   -3.0   -3.0    100   6.24    337    5.7  330.5  351.7  331.8
  484.8   6133   -3.7   -3.8    100   5.99    323    7.1  331.3  351.7  332.5
  473.0   6328   -4.7   -5.2     97   5.52    331    5.2  332.4  351.4  333.5
  400.0   7632  -11.6  -13.2     88   3.48    107    1.4  339.9  352.4  340.6
  382.2   7981  -13.1  -15.2     85   3.09     64    1.7  342.2  353.5  342.9
  300.0   9784  -24.9  -27.3     80   1.36     65    0.7  350.1  355.4  350.4
  297.7   9841  -25.3  -27.8     80   1.31     35    0.4  350.3  355.4  350.6
  285.5  10143  -27.5  -30.1     79   1.11     96    1.8  351.5  355.8  351.7
  250.0  11083  -35.0  -38.4     71   0.56     18    2.9  353.8  356.1  354.0
  232.4  11589  -39.3  -42.7     70   0.38     12    6.2  354.9  356.5  354.9
  227.5  11733  -40.5  -43.9     70   0.34      2    6.5  355.2  356.7  355.3
  221.4  11919  -42.0  -45.6     68   0.29     12    7.6  355.6  356.8  355.6
  201.6  12543  -47.6  -52.0     60   0.16     21    9.6  356.4  357.1  356.5
  200.0  12597  -48.1  -52.5     60   0.15     20    9.5  356.5  357.1  356.5
  187.4  13022  -51.8  -56.8     55   0.09     14   10.6  357.1  357.6  357.1
  154.9  14224  -63.0  -67.5     55   0.03      1   12.8  358.0  358.2  358.1
  150.7  14392  -64.4  -69.3     51   0.02    356   13.4  358.4  358.5  358.4
  150.0  14421  -64.7  -69.6     51   0.02    356   13.3  358.4  358.5  358.4
  145.1  14624  -66.4  -73.8     35   0.01      1   13.1  358.9  359.0  358.9
  139.8  14850  -67.0  -76.8     24   0.01     38   12.2  361.7  361.7  361.7
  138.8  14893  -67.4  -76.4     27   0.01     45   12.3  361.7  361.8  361.7
  125.8  15478  -72.7  -78.3     43   0.01     73   12.0  362.4  362.4  362.4
  111.2  16187  -78.1  -83.2     44   0.00    102   24.8  365.3  365.4  365.3
  110.0  16249  -78.5  -83.4     46   0.00    102   23.7  365.6  365.6  365.6
  105.0  16516  -77.8  -82.6     46   0.00     93   14.9  371.9  371.9  371.9
  100.1  16790  -78.7  -83.3     47   0.00     67   12.2  375.3  375.3  375.3
  100.0  16795  -78.8  -83.4     47   0.00     67   12.2  375.3  375.3  375.3
  100.0  16795  -78.8  -83.4     47   0.00     67   12.2  375.3  375.3  375.3
   91.1  17322  -81.6  -86.0     47   0.00     75   18.9  379.8  379.8  379.8
   85.6  17674  -79.0  -85.5     34   0.00     91   25.3  391.8  391.8  391.8
   83.1  17845  -78.2  -86.8     24   0.00     96   23.3  396.8  396.8  396.8
   76.7  18306  -70.4  -89.5      5   0.00    115   22.9  422.2  422.2  422.2
   74.7  18468  -70.6  -89.6      5   0.00    110   23.6  425.0  425.0  425.0
   70.6  18798  -69.0  -89.3      4   0.00     92   14.6  435.5  435.5  435.5
   70.0  18851  -68.7  -89.3      4   0.00     86   14.9  437.0  437.0  437.0
   69.9  18856  -68.7  -89.2      4   0.00     86   14.9  437.3  437.3  437.3
   68.9  18942  -68.9  -89.3      4   0.00     81   16.1  438.6  438.6  438.6
   57.2  20059  -68.2  -91.1      3   0.00    102   22.4  464.1  464.1  464.1
   50.0  20869                                                               
