Latitude: 22.315 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     64                                                               
  999.8     66   29.6   26.2     82  21.92    241    1.2  302.8  368.2  306.7
  943.6    581   24.6   24.3     98  20.64    215    6.3  302.7  364.2  306.5
  940.6    608   24.4   23.7     96  19.97    215    6.2  302.8  362.3  306.4
  925.0    756   24.1   21.6     86  17.83    233    6.4  303.9  357.2  307.1
  888.1   1112   22.8   17.7     73  14.48    248    9.1  306.1  349.8  308.8
  880.5   1188   22.6   16.6     69  13.64    252    8.1  306.7  348.0  309.2
  868.6   1307   21.7   16.5     72  13.73    232    6.1  307.0  348.6  309.5
  855.2   1442   22.4   14.3     60  12.05    263    5.9  309.1  346.0  311.3
  852.1   1474   22.3   14.1     60  11.95    270    6.2  309.3  345.9  311.5
  850.0   1495   22.3   13.6     58  11.59    271    6.4  309.5  345.0  311.6
  792.8   2098   18.3   12.2     68  11.32    269    1.0  311.4  346.4  313.5
  757.5   2487   15.8   10.4     70  10.53    243    5.0  312.8  345.6  314.8
  750.1   2570   15.2    9.4     68   9.94    252    6.0  313.1  344.1  314.9
  723.5   2877   14.3    6.3     59   8.34    255   10.3  315.3  341.7  316.9
  700.0   3155   13.4    4.9     56   7.81    225    5.2  317.3  342.3  318.8
  691.2   3262   12.9    4.2     55   7.49    207    5.9  317.9  341.9  319.3
  676.0   3448   12.5    2.4     50   6.75    219    6.9  319.5  341.4  320.8
  675.2   3459   12.4    2.4     50   6.75    219    6.9  319.5  341.4  320.8
  664.1   3598   11.5    2.1     52   6.74    203    6.4  320.0  341.9  321.3
  652.3   3747   10.5    1.2     52   6.40    225    5.5  320.5  341.4  321.7
  628.7   4053    7.8    1.4     64   6.77    192    5.2  320.8  342.9  322.1
  622.4   4137    7.2    1.8     69   7.03    191    4.7  321.0  343.9  322.4
  561.2   4983    2.8   -9.0     42   3.46    137    4.7  325.4  337.2  326.1
  557.0   5043    2.5   -7.9     46   3.81    131    5.5  325.8  338.8  326.5
  531.0   5428   -0.6   -7.6     59   4.07    120    6.9  326.5  340.4  327.3
  515.0   5672   -2.4   -9.5     58   3.63    124    4.9  327.3  339.7  328.0
  500.0   5906   -3.4  -16.4     36   2.13    129    5.8  328.9  336.4  329.3
  487.4   6107   -4.2  -21.0     26   1.47    124    5.2  330.3  335.6  330.6
  476.0   6294   -5.5  -15.0     47   2.52    130    5.1  330.9  339.8  331.4
  463.3   6505   -6.4  -18.7     37   1.89    127    2.3  332.4  339.2  332.7
  460.0   6562   -6.5  -24.9     22   1.11    109    2.6  332.9  337.0  333.1
  446.0   6802   -7.9  -17.1     48   2.26    103    5.2  334.1  342.2  334.5
  442.7   6860   -7.9  -25.5     23   1.08    106    5.3  334.7  338.8  334.9
  441.5   6880   -8.1  -26.1     22   1.04    109    5.4  334.8  338.7  335.0
  425.2   7172  -10.6  -25.5     28   1.13    106    5.2  335.2  339.5  335.5
  417.4   7314  -11.3  -25.5     30   1.15    102    3.9  336.1  340.4  336.3
  400.0   7639  -13.6  -33.5     17   0.57    132    4.5  337.2  339.4  337.3
  393.2   7769  -14.1  -39.2     10   0.32    135    5.0  338.2  339.5  338.3
  391.1   7809  -14.4  -40.2      9   0.30    134    5.0  338.4  339.6  338.5
  360.1   8430  -19.1  -36.6     20   0.47    122    5.9  340.1  342.0  340.2
  351.7   8605  -20.6  -36.6     22   0.47    111    5.1  340.4  342.3  340.5
  343.8   8773  -21.6  -35.0     29   0.57     81    3.1  341.3  343.6  341.4
  330.9   9054  -23.3  -41.5     17   0.30     45    5.5  342.7  343.9  342.7
  300.0   9764  -28.4  -42.7     24   0.30     50    9.0  345.3  346.5  345.3
  291.8   9963  -29.6  -48.5     14   0.16     55    7.7  346.2  346.9  346.2
  285.3  10121  -30.6  -56.4      6   0.07     71    6.9  347.1  347.4  347.1
  276.7  10339  -32.4  -55.5      8   0.07     80    8.1  347.5  347.9  347.5
  253.5  10950  -37.9  -55.0     15   0.09     69    8.0  348.1  348.5  348.2
  250.0  11044  -38.8  -55.2     16   0.09     73    8.1  348.2  348.5  348.2
  239.3  11342  -41.0  -63.3      7   0.03     95    8.5  349.3  349.4  349.3
  238.1  11376  -41.3  -58.7     13   0.06     97    8.7  349.4  349.7  349.4
  235.5  11450  -41.9  -52.9     29   0.12     97    8.8  349.6  350.1  349.6
  224.9  11760  -44.4  -60.9     14   0.05     99    8.3  350.3  350.6  350.3
  219.5  11924  -45.8  -60.6     17   0.05     86    8.9  350.6  350.8  350.6
  212.7  12133  -47.3  -58.4     27   0.07     84    7.6  351.5  351.8  351.5
  207.8  12287  -48.2  -70.2      6   0.01     79    8.4  352.4  352.5  352.4
  200.0  12537  -49.7  -67.0     11   0.02     71    8.6  353.8  354.0  353.8
  193.7  12745  -51.5  -67.4     13   0.02     66    7.8  354.3  354.4  354.3
  174.3  13422  -57.1  -70.9     16   0.02     89    8.9  355.8  355.9  355.8
  169.2  13607  -58.2  -73.6     12   0.01     82    9.4  357.1  357.1  357.1
  161.4  13904  -60.2  -69.2     30   0.02     89    7.9  358.6  358.7  358.6
