Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     64                                                               
  999.8     66   28.5   25.9     86  21.56    232    0.2  301.7  365.7  305.5
  964.9    381   25.7   25.0     96  21.07    251    5.9  301.9  364.4  305.7
  963.5    394   25.5   24.9     96  21.04    251    5.9  301.9  364.4  305.7
  938.9    623   24.2   22.2     89  18.22    260    3.2  302.7  356.9  306.0
  925.0    754   24.2   20.2     78  16.32    271    3.9  304.0  352.8  307.0
  921.5    787   24.4   19.7     75  15.90    270    4.5  304.6  352.2  307.5
  850.0   1492   19.9   17.3     85  14.78    334    1.8  306.9  351.7  309.7
  836.3   1632   18.7   17.0     90  14.72    291    2.2  307.2  351.8  309.9
  781.5   2213   15.5   13.1     86  12.21    294    2.9  309.7  347.1  311.9
  700.0   3143   12.0    5.6     65   8.16    284    2.2  315.8  341.7  317.3
  651.9   3737    9.3   -0.1     52   5.86    279    0.8  319.2  338.3  320.4
  628.7   4037    7.3    0.7     63   6.43    205    0.4  320.3  341.2  321.5
  604.4   4361    6.0   -4.6     46   4.49    103    0.2  322.4  337.3  323.2
  593.4   4512    5.5   -8.0     37   3.53     49    1.9  323.5  335.5  324.2
  566.7   4886    4.2  -15.5     22   2.02     72    2.1  326.2  333.3  326.6
  558.0   5012    3.0   -7.0     48   4.06     70    3.3  326.3  340.1  327.1
  548.4   5153    2.2  -11.2     36   2.98     75    4.3  326.9  337.2  327.5
  545.4   5196    1.8   -5.6     58   4.64     76    3.9  326.9  342.7  327.9
  538.8   5296    1.3  -12.7     35   2.69     80    3.0  327.5  336.9  328.0
  519.0   5595   -1.1   -8.7     56   3.84     92    3.0  328.2  341.3  328.9
  500.0   5892   -2.6  -13.9     42   2.62    136    3.5  329.8  339.0  330.3
  476.4   6274   -5.1  -15.6     44   2.39    131    3.4  331.3  339.8  331.8
  470.2   6377   -5.4  -23.2     23   1.26    108    3.6  332.2  336.8  332.4
  450.4   6712   -7.7  -18.4     42   1.99    111    4.7  333.4  340.6  333.8
  443.9   6826   -8.0  -26.2     22   1.02     91    5.2  334.4  338.2  334.6
  437.0   6947   -8.8  -27.5     20   0.92    102    5.6  334.9  338.4  335.1
  435.6   6971   -9.0  -26.8     22   0.99    103    5.7  335.0  338.7  335.2
  424.6   7169  -10.4  -22.4     37   1.50     94    5.9  335.6  341.2  335.9
  419.5   7262  -11.0  -26.7     26   1.03     87    5.6  336.0  339.9  336.2
  412.7   7386  -11.2  -34.0     13   0.52    100    5.1  337.3  339.4  337.4
  400.0   7626  -13.0  -30.2     22   0.78    121    4.5  338.0  341.0  338.1
  395.9   7704  -13.8  -28.7     27   0.91    122    5.0  338.0  341.4  338.2
  390.9   7801  -14.6  -26.9     34   1.08    121    5.4  338.1  342.2  338.3
  386.3   7891  -13.6  -31.4     21   0.72    105    5.7  340.5  343.4  340.7
  374.9   8119  -15.4  -35.6     16   0.49     89    6.0  341.1  343.1  341.2
  361.7   8388  -17.4  -34.1     22   0.59    126    5.0  341.9  344.3  342.1
  347.8   8680  -19.7  -35.3     24   0.55    133    5.5  342.7  344.9  342.8
  318.8   9320  -24.4  -40.0     22   0.37     89    5.9  344.9  346.4  344.9
  304.4   9655  -27.1  -47.5     13   0.17     79    4.0  345.6  346.3  345.6
  300.0   9759  -27.9  -47.0     14   0.19     75    4.6  346.0  346.8  346.0
  292.2   9947  -29.5  -42.6     27   0.31     87    3.6  346.2  347.5  346.3
  270.8  10485  -33.1  -55.1      9   0.08     72    6.8  348.7  349.0  348.7
  250.0  11042  -37.3  -54.3     15   0.10     60    2.7  350.5  350.9  350.5
  238.8  11356  -39.7  -62.3      7   0.04     38    3.8  351.4  351.6  351.4
  214.9  12067  -46.1  -62.6     14   0.04    345    2.7  352.2  352.4  352.2
  202.9  12447  -49.6  -66.7     12   0.02    335    4.3  352.5  352.6  352.5
  200.0  12541  -50.6  -65.0     16   0.03    337    4.4  352.5  352.7  352.5
  186.4  12994  -54.8  -62.8     36   0.04      4    4.5  352.9  353.1  352.9
  184.7  13055  -55.2  -61.7     44   0.05      3    5.3  353.1  353.3  353.1
  176.9  13326  -56.7  -71.1     15   0.01     33    7.1  355.0  355.1  355.0
  171.0  13542  -58.6  -67.8     30   0.02     55    6.6  355.3  355.4  355.3
  170.1  13574  -58.9  -67.9     30   0.02     59    6.9  355.3  355.5  355.3
  164.4  13788  -60.1  -70.8     23   0.02     94    9.8  356.8  356.9  356.8
  161.3  13905  -60.8  -72.5     20   0.01     90   12.2  357.7  357.7  357.7
  159.0  13996  -60.7  -75.0     14   0.01     83   13.7  359.2  359.2  359.2
  156.3  14103  -60.7  -77.8      9   0.01     89   14.7  361.0  361.0  361.0
  150.0  14357  -62.7  -77.1     13   0.01     99   16.4  361.8  361.8  361.8
  149.6  14373  -62.8  -76.8     13   0.01     99   16.6  361.9  362.0  361.9
  140.7  14749  -65.7  -74.6     28   0.01     94   20.5  363.2  363.3  363.2
  125.3  15441  -72.0  -75.7     58   0.01     72   23.4  364.1  364.1  364.1
