Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.6     66   25.9   25.2     96  20.61    241    1.7  299.0  359.4  302.7
 1000.0     71   25.9   25.2     96  20.56    235    2.0  299.0  359.3  302.7
  964.0    394   23.5   23.5    100  19.22    243   10.5  299.7  356.2  303.2
  932.0    690   22.8   22.3     97  18.50    235   14.0  301.9  356.8  305.3
  925.0    757   22.2   22.2    100  18.52    237   14.0  302.0  357.0  305.4
  897.4   1021   21.9   20.3     90  16.91    246   16.0  304.3  354.9  307.4
  880.7   1184   20.8   20.1     96  17.08    252   13.9  304.8  356.1  307.9
  850.0   1493   19.7   18.7     94  16.17    244   11.6  306.8  355.7  309.7
  832.0   1677   18.2   18.2    100  16.04    240   11.6  307.1  355.7  310.0
  815.8   1847   17.4   17.2     99  15.30    261   12.9  307.9  354.4  310.8
  779.7   2234   15.4   15.4    100  14.27    257   12.7  309.8  353.5  312.5
  769.4   2347   15.1   15.1    100  14.14    252   13.0  310.6  354.1  313.3
  753.9   2521   15.5   12.3     81  12.01    254   10.4  312.9  350.3  315.2
  736.2   2721   13.9   11.8     87  11.92    270   10.0  313.3  350.4  315.5
  700.0   3146   11.1   11.1    100  11.93    264    9.7  314.7  352.1  317.0
  658.6   3655    8.7    7.3     91   9.77    259    8.1  317.5  348.6  319.4
  642.6   3859    8.0    6.2     89   9.32    272    6.1  319.0  348.9  320.8
  617.7   4185    5.4    5.4    100   9.19    276    7.4  319.7  349.2  321.5
  615.9   4209    5.3    5.3    100   9.11    277    7.5  319.8  349.1  321.6
  605.7   4345    4.8    3.6     92   8.23    261    6.9  320.8  347.4  322.4
  580.7   4689    4.0    0.9     80   7.04    271    9.9  323.7  346.9  325.1
  573.4   4793    3.2    0.6     83   7.00    281   10.2  324.0  347.0  325.4
  552.3   5096    1.3    0.2     92   7.07    271    5.0  325.2  348.6  326.6
  545.6   5195    0.9    0.0     94   7.07    292    5.7  325.8  349.3  327.2
  536.9   5323    0.1   -0.3     97   7.00    272    6.0  326.4  349.7  327.8
  528.9   5443   -0.5   -0.6     99   6.96    303    6.0  327.1  350.3  328.4
  522.9   5535   -0.9   -1.0    100   6.85    285    5.5  327.6  350.5  329.0
  521.3   5560   -1.0   -1.1     99   6.78    281    6.1  327.8  350.5  329.1
  504.9   5815   -2.3   -2.5     99   6.31    276    7.9  329.2  350.5  330.4
  500.0   5892   -2.8   -3.1     98   6.13    291    7.3  329.6  350.3  330.8
  497.8   5927   -2.9   -3.4     97   6.01    293    7.7  329.8  350.1  331.0
  491.8   6023   -3.4   -3.8     97   5.88    279    8.1  330.4  350.4  331.6
  482.3   6178   -4.3   -4.6     97   5.65    292    8.0  331.2  350.4  332.3
  443.2   6841   -7.3   -7.8     96   4.83    269    6.6  335.4  352.3  336.4
  435.6   6976   -8.0   -8.4     97   4.67    252    5.8  336.2  352.5  337.1
  426.2   7146   -8.8   -9.3     96   4.45    272    6.1  337.4  353.0  338.3
  417.3   7310   -9.4  -10.2     94   4.23    244    5.7  338.5  353.6  339.4
  400.0   7636  -11.0  -12.1     92   3.79    230    6.3  340.6  354.2  341.4
  396.5   7704  -11.3  -12.4     92   3.73    227    6.6  341.0  354.4  341.8
  368.6   8261  -14.6  -16.2     88   2.94    219    8.3  343.8  354.7  344.5
  337.9   8915  -18.5  -20.5     85   2.23    233   12.3  347.2  355.6  347.6
  310.2   9549  -23.0  -25.5     80   1.56    208    9.1  349.5  355.5  349.8
  300.0   9792  -24.9  -27.2     81   1.38    218    7.7  350.2  355.6  350.5
  299.0   9815  -25.0  -27.3     82   1.37    218    7.3  350.3  355.7  350.6
  295.9   9892  -25.5  -27.8     81   1.32    214    6.6  350.6  355.8  350.9
  266.1  10651  -31.8  -34.4     78   0.78    198    7.7  352.4  355.5  352.5
  250.0  11090  -35.2  -38.0     76   0.58    221    6.6  353.6  356.0  353.7
  243.2  11281  -36.8  -39.6     75   0.50    236    5.7  354.0  356.1  354.1
  231.9  11609  -39.6  -43.0     70   0.37    217    6.3  354.5  356.1  354.6
  210.6  12260  -44.8  -48.6     66   0.22    229    6.3  356.3  357.3  356.3
  200.0  12603  -48.0  -52.1     62   0.15    224    3.3  356.6  357.3  356.7
  182.2  13211  -53.3  -57.5     60   0.09    175    1.2  357.6  358.0  357.6
  166.7  13776  -58.8  -64.0     51   0.04    238    3.9  357.7  357.9  357.7
  166.4  13787  -58.9  -64.0     52   0.04    238    4.0  357.7  357.9  357.7
  150.0  14427                                                               
